省,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
山东省,66.3673,2360,98882,75,2,滨州市,2015,20105,4178.27
山东省,77.6081,2750,60676,98,2,德州市,2015,20001.1,4138.96
山东省,56.2237,3450,102729,99,2,东营市,2015,20174.4,4194.97
山东省,66.5278,2400,78613,95,2,菏泽市,2015,19927.8,3901.37
山东省,154.0448,6100,132762,172,2,济南市,2015,20056.2,4074.14
山东省,92.2743,4010,119655,114,2,济宁市,2015,20021.6,3930.64
山东省,72.0398,2660,73754,100,2,聊城市,2015,19937.7,4047.45
山东省,165.6416,3760,151855,121,2,临沂市,2015,20162.7,3933.18
山东省,194.6223,9300,181716,169,2,青岛市,2015,20321,4074.13
山东省,45.2613,1670,53680,63,2,日照市,2015,20238.8,3969.32
山东省,56.1292,3160,57179,97,2,泰安市,2015,20043.6,4002.63
山东省,56.5907,3000,58788,79,2,威海市,2015,20478.8,4166.66
山东省,176.6883,5170,179459,120,2,潍坊市,2015,20223.6,4077.1
山东省,125.8253,6450,137435,117,2,烟台市,2015,20370.7,4168.97
山东省,45.6706,2030,56398,86,2,枣庄市,2015,20084.7,3883.96
山东省,79.1722,4130,88513,104,2,淄博市,2015,20131.6,4076.05
陕西省,11.158,772.459,11773,25,2,安康市,2015,19305.8,3627.6
陕西省,23.9326,1790,31451,58,2,宝鸡市,2015,19150.5,3812.16
陕西省,19.8993,1060,27838,41,2,汉中市,2015,19136.1,3669.6
陕西省,6.903,621.831,7102,31,2,商洛市,2015,19398,3725.19
陕西省,7.6573,324.539,10474,12,2,铜川市,2015,19320.8,3898.09
陕西省,43.4758,1470,52585,73,2,渭南市,2015,19395,3869.45
陕西省,218.9116,5800,127471,185,2,西安市,2015,19296.1,3777.79
陕西省,31.0627,2160,64376,79,2,咸阳市,2015,19261.1,3853.75
陕西省,26.4708,1200,128738,33,2,延安市,2015,19349.1,4035.19
陕西省,54.6932,2620,154360,63,2,榆林市,2015,19373.1,4212.54
四川省,14,501.3438,9210,23,2,巴中市,2015,19125.5,3550.54
四川省,366.2,10800,198878,255,2,成都市,2015,18821.4,3413.99
四川省,21.1,1350,23792,60,2,达州市,2015,19180.4,3476.26
四川省,36,1610,46157,64,2,德阳市,2015,18873.3,3464.01
四川省,14.1,1010,23099,37,2,广安市,2015,19083.2,3375.39
四川省,16,605.43,17952,26,2,广元市,2015,19008,3582.89
四川省,25.5,1300,26304,58,2,乐山市,2015,18776.3,3256.09
四川省,24.1,1350,19339,53,2,泸州市,2015,18977.1,3158.64
四川省,21.6,1030,21143,46,2,眉山市,2015,18799.1,3334.21
四川省,42.7,1700,44061,91,2,绵阳市,2015,18903.7,3542.29
四川省,32.7,1520,34623,67,2,南充市,2015,19042.6,3462.55
四川省,15.6,1200,17189,48,2,内江市,2015,18909.8,3295.84
四川省,13.7,925.1839,19204,20,2,攀枝花市,2015,18575.9,3000.15
四川省,15.5,915.8112,22358,33,2,遂宁市,2015,18969.6,3403.17
四川省,13.1,502.5788,13382,33,2,雅安市,2015,18693.3,3339.59
四川省,22.2,1530,21560,54,2,宜宾市,2015,18876.6,3178.58
四川省,15,1270,10330,35,2,资阳市,2015,18932.3,3345.92
四川省,16,1140,13728,42,2,自贡市,2015,18885.5,3257.7
云南省,70.36,551.9581,13168,12,2,保山市,2015,18279.7,2818.04
云南省,217.51,3970,115659,134,2,昆明市,2015,18680.4,2833.74
云南省,28.62,289.6117,12259,16,2,丽江市,2015,18456.2,3024.58
云南省,77.39,502.1223,10483,6,2,临沧市,2015,18341.5,2695.25
云南省,94.51,514.0121,11323,0,2,普洱市,2015,18443.1,2602.51
云南省,108.36,1650,50925,50,2,曲靖市,2015,18790.2,2862.76
云南省,83.77,1240,34322,28,2,玉溪市,2015,18603.2,2698.98
云南省,72.33,708.3761,20097,23,2,昭通市,2015,18808.1,3079.62
浙江省,224.4767,10100,200695,236,2,杭州市,2015,20319.5,3339.4
浙江省,55.3092,2080,94145,82,2,湖州市,2015,20350.9,3436.52
浙江省,91.6024,3520,153133,109,2,嘉兴市,2015,20439.8,3430.15
浙江省,129.3794,3400,131016,119,2,金华市,2015,20373.2,3255.63
浙江省,28.1735,1100,39970,51,2,丽水市,2015,20337.4,3150.06
浙江省,180.3652,8000,249364,156,2,宁波市,2015,20516.8,3336.54
浙江省,28.1754,1150,34130,57,2,衢州市,2015,20249.5,3226.34
浙江省,97.0114,4470,119975,117,2,绍兴市,2015,20434.6,3329.88
浙江省,116.0758,3550,143211,117,2,台州市,2015,20492.9,3224.87
浙江省,157.2443,4620,149761,147,2,温州市,2015,20434.2,3123.18
浙江省,12.1824,1090,43425,28,2,舟山市,2015,20581,3386.5
安徽省,30.9036,1540,27434,34,2,安庆市,2014,20026.6,3396.7
