2015——gwr_FID,Cond,LocalR2,Predicted,Intercept,C1_2015_ci,C2_2015_ci,C3_2015_ci,StdError,StdErr_Int,StdErrC1_2,StdErrC2_2,StdErrC3_2,Source_ID,FID,省,省代码,市,市代码,市类型,省类型,公众号,搜一搜,微博,备注,备注2,数量,ʡ,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
0,11.566240192700000,0.833703261664000,33.586681489800000,0.056394540174400,0.017721442663600,0.000029877517082,0.159400160121000,3.964648555230000,5.140334015490000,0.002540579167170,0.000153623890807,0.152030133379000,0,0,安徽省,340000,安庆市,340800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,安徽省,30.903600000000001,1540.000000000000000,27434,34,2,安庆市,2014,20026.599999999999000,3396.699999999999800
1,11.716049851599999,0.896852718906000,73.043579454500005,-18.246672220600001,0.005820397769260,0.000451291246705,0.439060425106000,8.527277019590001,6.909867311370000,0.004284843679680,0.000210443489044,0.171390598158000,249,249,山东省,370000,滨州市,371600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,66.367300000000000,2360.000000000000000,98882,75,2,滨州市,2015,20105.000000000000000,4178.270000000000400
2,12.295933952200000,0.904465027584000,69.191024199500006,-19.785483416000002,0.009205562389380,0.000522959510186,0.325817549027000,4.260639132690000,7.370040977060000,0.004811884143930,0.000228643610268,0.190253715034000,250,250,山东省,370000,德州市,371400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,77.608099999999993,2750.000000000000000,60676,98,2,德州市,2015,20001.099999999999000,4138.960000000000000
3,11.687923661299999,0.901420619558000,87.984407925400006,-15.550042878899999,0.005486567826890,0.000378007461074,0.462358215483000,5.916073609060000,6.663251570020000,0.004316367102660,0.000208587107766,0.166248773916000,251,251,山东省,370000,东营市,370500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,56.223700000000001,3450.000000000000000,102729,99,2,东营市,2015,20174.400000000001000,4194.970000000000300
4,14.502723394000000,0.901206370963000,71.989897256500001,-13.678757982500001,0.017677993162200,0.000433359196782,0.096566369611500,4.907918881770000,6.583374067460000,0.005350946910300,0.000209611311385,0.212874637492000,252,252,山东省,370000,菏泽市,371700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,66.527799999999999,2400.000000000000000,78613,95,2,菏泽市,2015,19927.799999999999000,3901.369999999999900
5,11.935791514200000,0.892841579996000,157.950930367000010,-18.015948442700001,0.008890976639720,0.000465716949131,0.348269812248000,7.762992221300000,6.975938392110000,0.004558864059180,0.000218515471490,0.187210166996000,253,253,山东省,370000,济南市,370100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,154.044800000000010,6100.000000000000000,132762,172,2,济南市,2015,20056.200000000001000,4074.139999999999900
6,13.535106651600000,0.887314202915000,114.456355491000000,-14.431807096300000,0.013855449331700,0.000406101873203,0.216979746747000,8.816411198679999,6.584415639500000,0.005060804264580,0.000211133229388,0.204017240599000,254,254,山东省,370000,济宁市,370800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,92.274299999999997,4010.000000000000000,119655,114,2,济宁市,2015,20021.599999999999000,3930.639999999999900
7,14.016430638299999,0.911403871299000,76.107772048599998,-17.582352147600002,0.014194898369800,0.000509328465524,0.183666828863000,4.133478130440000,7.343516750560000,0.005595272145860,0.000230664575594,0.211652725528000,255,255,山东省,370000,聊城市,371500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,72.039800000000000,2660.000000000000000,73754,100,2,聊城市,2015,19937.700000000001000,4047.449999999999800
8,12.010789612800000,0.868290130140000,114.386626353000000,-12.738931545700000,0.009373270588260,0.000319905976900,0.357873870780000,14.589340682700000,6.349405286050000,0.004326312910160,0.000210483895926,0.184130736107000,256,256,山东省,370000,临沂市,371300,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,165.641600000000010,3760.000000000000000,151855,121,2,临沂市,2015,20162.700000000001000,3933.179999999999800
9,11.420694473299999,0.901852006637000,171.985568863000000,-10.234238607200000,0.006896519974280,0.000252702633917,0.426994437188000,15.047864577300000,6.163505863830000,0.004366147827660,0.000206548331777,0.166999216017000,257,257,山东省,370000,青岛市,370200,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,山东省,194.622300000000000,9300.000000000000000,181716,169,2,青岛市,2015,20321.000000000000000,4074.130000000000100
