,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
193,,2.5895,,2003,0.0007437569513805173,0.002943247154535143,12764.0,22.0,,91.84,2,酒泉市,1111.0,101111.0,3.829752240495343
201,,2.38,,2004,0.0008838203083335046,0.002953025384284429,13608.0,22.0,,92.53,2,酒泉市,1111.0,101111.0,4.06225262127393
217,,2.7139,,2005,0.0010977906198438984,0.003715727304728752,15012.0,29.0,,90.26,2,酒泉市,1111.0,101111.0,5.0886003917125455
236,,3.0567,,2006,0.0013427064483974875,0.003256150506512301,16442.0,29.0,,91.16,2,酒泉市,1111.0,101111.0,5.06730697826141
240,,3.5683,,2007,0.0016127087617028926,0.0033148198850080184,16684.0,29.0,,93.57,2,酒泉市,1111.0,101111.0,5.551242249234082
243,,5.0003,,2009,0.0026727319748090874,0.004106856494700199,17084.0,37.0,,96.42,2,酒泉市,1111.0,101111.0,7.955323734380019
251,,4.1552,,2008,0.002015554801171278,0.003774396683224469,17924.0,36.0,,95.8,2,酒泉市,1111.0,101111.0,6.607208543167431
281,,14.21,,2015,0.004686170289426944,0.005475808659600266,21757.0,52.0,15.0,111.54,2,酒泉市,11111.0,111111.0,12.400116674580609
284,,12.19,,2014,0.005277862361251168,0.004429538076426644,21809.0,49.0,7.0,111.2,2,酒泉市,11111.0,111111.0,12.406136594249137
298,,6.44,,2010,0.0034285030469271573,0.004185082332694489,23164.0,38.0,,97.95,2,酒泉市,1111.0,101111.0,9.232732709600342
307,,7.86,,2011,0.00411700008216863,0.004204638792193061,24101.0,40.0,2.0,99.1,2,酒泉市,11111.0,111111.0,10.350025181334743
314,,16.44,,2016,0.004984366327309404,0.00574959909258028,24444.0,55.0,21.0,112.0,2,酒泉市,11111.0,111111.0,13.12217033041517
324,,3.9942,,2004,0.0021394817478878935,0.0024738921265694057,38490.0,28.0,,270.88,2,呼伦贝尔市,1111.0,101111.0,5.637874487764927
340,,7.5025,,2005,0.0027000456297223475,0.002581452653811554,42464.0,28.0,,270.0,2,呼伦贝尔市,1111.0,101111.0,6.629807853738505
349,,9.4,,2012,0.004954076813113761,0.00423397348144092,29440.0,41.0,0.0,98.8,2,酒泉市,11111.0,111111.0,11.713421219186852
362,,1.1536,,2004,0.00035409215980095467,0.000361794500723589,5191.0,6.0,,270.93,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,0.8903258599852293
363,,18.11,,2017,0.004748946882364194,0.005886494309070286,31203.0,53.0,58.0,99.0,2,酒泉市,11111.0,111111.0,12.86900572225736
369,,10.6344,,2013,0.005560317930259292,0.004419759846677357,32651.0,48.0,1.0,110.8,2,酒泉市,11111.0,111111.0,12.848527552038203
377,,1.3825,,2005,0.0004512831660461881,0.000361794500723589,5512.0,6.0,,272.49,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.0455694816818824
382,,9.1392,,2006,0.0033387431401539266,0.0026010091133101265,50194.0,28.0,,269.96,2,呼伦贝尔市,1111.0,101111.0,7.667555325488513
391,,1.9546,,2006,0.0006250150367730899,0.0003715727304728752,5844.0,6.0,,274.12,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.3318487275770399
395,,3.2323,,2003,0.0004765820193467316,0.0008018148394414675,9453.0,13.0,,253.03,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.480924865283903
396,,1.3096,,2003,0.0005374939984288182,0.001652520827629366,8221.0,22.0,,126.81,2,张掖市,1111.0,101111.0,2.3417809710168935
399,,19.4,,2018,0.005154918069005783,0.0059647201470645755,36149.0,54.0,60.0,99.0,2,酒泉市,11111.0,111111.0,13.587677802075834
400,,2.7396,,2007,0.0011032681086409536,0.0022001016935893924,8349.0,27.0,,128.72,2,张掖市,1111.0,101111.0,3.7369820716585807
402,,2.2415,,2005,0.0009446072059398576,0.002415222748073689,2680.0,16.0,,362.96,2,巴中市,1111.0,101111.0,3.6766367386303056
403,,1.5415,,2004,0.0006777076331260324,0.0017209684358743694,8429.0,22.0,,126.46,2,张掖市,1111.0,101111.0,2.627180779626176
404,,2.1792,,2005,0.0007806748839233107,0.001906754801110807,8431.0,23.0,,127.08,2,张掖市,1111.0,101111.0,2.9584055524899555
406,,8.605,,2007,0.004328409372960047,0.0026205655728086985,55474.0,28.0,,270.56,2,呼伦贝尔市,1111.0,101111.0,9.265906680957885
409,,2.438,,2006,0.0009238985728387191,0.002004537098603669,8582.0,26.0,,127.15,2,张掖市,1111.0,101111.0,3.274943028203886
410,,6.5245,,2003,0.0007576742902560313,0.0022587710720851097,2759.0,15.0,,356.06,2,巴中市,1111.0,101111.0,3.237622934248243
412,,4.681,,2004,0.0005800100019107408,0.0008018148394414675,9957.0,15.0,,254.9,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.6461308366831602
413,,7.5154,,2004,0.0009054765011033302,0.00238588805882583,2766.0,16.0,,361.09,2,巴中市,1111.0,101111.0,3.587803397443628
418,,4.0255,,2009,0.0019282569297765166,0.0026205655728086985,2791.0,17.0,,401.18,2,巴中市,1111.0,101111.0,5.432132628205394
419,,2.2662,,2003,0.0007160005620351638,0.0030410294520280047,5393.0,27.0,,294.06,2,安康市,1111.0,101111.0,3.8731824852767858
423,,3.5876,,2003,0.0011458875967970445,0.0022881057613329684,15116.0,19.0,,176.13,2,巴彦淖尔市,1111.0,101111.0,3.884047450313331
424,,2.9535,,2003,0.0008748720335515237,0.000567137325458599,5264.0,17.0,,507.27,2,昭通市,1111.0,101111.0,1.9064777024348096
426,,3.2407,,2007,0.0014723502484618432,0.00246411389682012,7684.0,25.0,,188.6,2,武威市,1111.0,101111.0,4.563485845103479
427,,91.29,,2016,0.004890871973598803,0.0021023193960965306,10516.0,27.0,0.0,251.0,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,9.699172734518765
429,,20.48,,2019,0.005344906032244399,0.005974498376813861,40473.0,54.0,38.0,99.0,2,酒泉市,11111.0,111111.0,13.89992297603008
431,,0.8886,,2003,0.0005937059735702086,0.0020338717878515275,7868.0,22.0,,187.1,2,武威市,1111.0,101111.0,2.7738546315543293
432,,2.4797,,2007,0.0007898355272540189,0.0,6785.0,7.0,,275.75,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.2616077611771084
433,,86.19,,2014,0.004075603512901187,0.002581452653811554,10795.0,25.0,0.0,253.8,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,8.826992509891168
434,,5.2846,,2005,0.0007426357174325738,0.0008115930691907537,10797.0,19.0,,256.56,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.9146701720272365
436,,0.9007,,2004,0.0007557800707853888,0.0022001016935893924,7948.0,22.0,,187.18,2,武威市,1111.0,101111.0,3.1819379006285358
437,,2.9478,,2004,0.0008594753137687716,0.0030899206007744357,5781.0,27.0,,294.97,2,安康市,1111.0,101111.0,4.146238160960204
439,,3.7992,,2004,0.0010945591984096574,0.0005866937849571713,5527.0,17.0,,524.35,2,昭通市,1111.0,101111.0,2.274938106500218
440,,2.9826,,2005,0.0010598423398930832,0.0024054445183244026,7983.0,25.0,,187.18,2,武威市,1111.0,101111.0,3.8519257601135584
443,,2.3802,,2006,0.0010982657494783398,0.002532561505065123,3068.0,16.0,,370.45,2,巴中市,1111.0,101111.0,4.027394983033142
447,,2.911,,2008,0.0017073063520267999,0.002581452653811554,3088.0,16.0,,398.57,2,巴中市,1111.0,101111.0,5.04410103966244
452,,3.0643,,2006,0.0012381149381491356,0.0024445574373215474,8252.0,25.0,,187.23,2,武威市,1111.0,101111.0,4.171787624324464
454,,94.51,,2015,0.004409153514946405,0.0021023193960965306,11323.0,27.0,0.0,249.97,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,8.929721722038941
455,,10.1586,,2008,0.005476826495140453,0.0026987914108029883,64389.0,28.0,,272.48,2,呼伦贝尔市,1111.0,101111.0,11.170490918699496
456,,3.0752,,2008,0.0013122063653865812,0.0022587710720851097,9864.0,28.0,,129.56,2,张掖市,1111.0,101111.0,4.123379456544246
457,,2.4098,,2004,0.0014888808003267852,0.0024347792075722612,16733.0,19.0,,177.91,2,巴彦淖尔市,1111.0,101111.0,4.5635604740300035
468,,2.5844,,2005,0.0010241959190424599,0.0033930457230023077,6141.0,27.0,,294.94,2,安康市,1111.0,101111.0,4.6814206155625
477,,4.4942,,2005,0.0012882834083191078,0.003050807681777291,6032.0,17.0,,528.65,2,昭通市,1111.0,101111.0,4.796068957154274
478,,2.3964,,2007,0.0013685353232031183,0.0025032268158172643,3304.0,16.0,,374.22,2,巴中市,1111.0,101111.0,4.432768067455584
479,,21.8369,,2020,0.005704852725003073,0.006121171823053154,45130.0,56.0,41.0,,2,酒泉市,11111.0,11111.0,14.60651588264923
480,,0.6809999999999999,,2003,0.0006578493740865362,0.0010169358939257638,18002.0,17.0,,173.55,2,黑河市,1111.0,101111.0,1.9635484327833526
