,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
152,,1.8003,,2002,0.0006392374304707171,,10574.0,0.0026169950738916255,,96.2,2,酒泉市,1101.0,101101.0,2.4747568799930026
193,,2.5895,,2003,0.0007437569513805173,302.0,12764.0,0.0026169950738916255,,91.84,2,酒泉市,1111.0,101111.0,2.6945403257326603
201,,2.38,,2004,0.0008838203083335046,303.0,13608.0,0.0026169950738916255,,92.53,2,酒泉市,1111.0,101111.0,2.9890652809279423
217,,2.7139,,2005,0.0010977906198438984,381.0,15012.0,0.003694581280788177,,90.26,2,酒泉市,1111.0,101111.0,3.904530316853826
236,,3.0567,,2006,0.0013427064483974875,334.0,16442.0,0.003694581280788177,,91.16,2,酒泉市,1111.0,101111.0,4.4195388458552625
240,,3.5683,,2007,0.0016127087617028926,340.0,16684.0,0.003694581280788177,,93.57,2,酒泉市,1111.0,101111.0,4.987299186310253
243,,5.0003,,2009,0.0026727319748090874,421.0,17084.0,0.0049261083743842365,,96.42,2,酒泉市,1111.0,101111.0,7.748346719029149
251,,4.1552,,2008,0.002015554801171278,387.0,17924.0,0.004772167487684729,,95.8,2,酒泉市,1111.0,101111.0,6.2999317364559735
281,,14.21,,2015,0.004686170289426944,561.0,21757.0,0.007235221674876847,15.0,111.54,2,酒泉市,11111.0,111111.0,12.979762357129907
284,,12.19,,2014,0.005277862361251168,454.0,21809.0,0.0067733990147783255,7.0,111.2,2,酒泉市,11111.0,111111.0,14.024459006054688
298,,6.44,,2010,0.0034285030469271573,429.0,23164.0,0.005080049261083744,,97.95,2,酒泉市,1111.0,101111.0,9.404084759996346
307,,7.86,,2011,0.00411700008216863,431.0,24101.0,0.005387931034482759,2.0,99.1,2,酒泉市,11111.0,111111.0,10.984863183929336
314,,16.44,,2016,0.004984366327309404,589.0,24444.0,0.00769704433497537,21.0,112.0,2,酒泉市,11111.0,111111.0,13.806320698388944
324,,3.9942,,2004,0.0021394817478878935,254.0,38490.0,0.00354064039408867,,270.88,2,呼伦贝尔市,1111.0,101111.0,6.0284923022514025
340,,7.5025,,2005,0.0027000456297223475,265.0,42464.0,0.00354064039408867,,270.0,2,呼伦贝尔市,1111.0,101111.0,7.207244945148588
349,,9.4,,2012,0.004954076813113761,434.0,29440.0,0.005541871921182266,0.0,98.8,2,酒泉市,11111.0,111111.0,12.81157060649718
350,,1.1757,,2002,0.00046456879847591077,,6804.0,0.002309113300492611,,126.95,2,张掖市,1101.0,101101.0,1.9744558252771733
362,,1.1536,,2004,0.00035409215980095467,38.0,5191.0,0.0001539408866995074,,270.93,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,0.8110884036405899
363,,18.11,,2017,0.004748946882364194,603.0,31203.0,0.007389162561576354,58.0,99.0,2,酒泉市,11111.0,111111.0,13.178272952093387
369,,10.6344,,2013,0.005560317930259292,453.0,32651.0,0.0066194581280788175,1.0,110.8,2,酒泉市,11111.0,111111.0,14.551901931276078
377,,1.3825,,2005,0.0004512831660461881,38.0,5512.0,0.0001539408866995074,,272.49,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.0154614629652343
382,,9.1392,,2006,0.0033387431401539266,267.0,50194.0,0.00354064039408867,,269.96,2,呼伦贝尔市,1111.0,101111.0,8.55029683063452
385,,9.2307,,2002,0.0007975482850131055,,4551.0,0.0013854679802955665,,508.14,2,昭通市,1101.0,101101.0,2.27561986043942
389,,5.56,,2002,0.0006442955813707082,,2559.0,0.001539408866995074,,353.52,2,巴中市,1101.0,101101.0,2.019864469779373
391,,1.9546,,2006,0.0006250150367730899,39.0,5844.0,0.0001539408866995074,,274.12,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.380784503587544
393,,1.4277,,2002,0.0004898604528425991,,6831.0,0.0016933497536945814,,187.76,2,武威市,1101.0,101101.0,1.7616226783642515
395,,3.2323,,2003,0.0004765820193467316,83.0,9453.0,0.0012315270935960591,,253.03,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.5341885227012693
