Unnamed: 0,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
152,,1.8003,,2002,0.0006392374304707171,,0.0037983670442350743,22.0,,96.2,2,酒泉市,1101.0,101101.0,3.8871884217270822,2.0585344560255643
193,,2.5895,,2003,0.0007437569513805173,302.0,0.0045953036055375075,22.0,,91.84,2,酒泉市,1111.0,101111.0,4.650039517013946,2.36733030731573
201,,2.38,,2004,0.0008838203083335047,303.0,0.004902433494916163,22.0,,92.53,2,酒泉市,1111.0,101111.0,5.121763729362115,1.692917660654412
217,,2.7139,,2005,0.0010977906198438984,381.0,0.0054133462492853964,29.0,,90.26,2,酒泉市,1111.0,101111.0,5.8725915588371205,2.749212538536764
236,,3.0567,,2006,0.0013427064483974875,334.0,0.005933720350957761,29.0,,91.16,2,酒泉市,1111.0,101111.0,6.685385203224922,3.2997907039329744
240,,3.5683,,2007,0.0016127087617028926,340.0,0.006021783660471546,29.0,,93.57,2,酒泉市,1111.0,101111.0,7.230031093757986,3.7932701583655186
243,,5.0003,,2009,0.0026727319748090874,421.0,0.00616734284975053,37.0,,96.42,2,酒泉市,1111.0,101111.0,9.223446948224158,5.971628744130566
251,,4.1552,,2008,0.0020155548011712783,387.0,0.006473017147236395,36.0,,95.8,2,酒泉市,1111.0,101111.0,8.274093964928756,4.413293889687406
281,,14.21,,2015,0.004686170289426944,561.0,0.007867838078502255,52.0,15.0,111.54,2,酒泉市,11111.0,111111.0,14.040252209606054,18.853257085673757
284,,12.19,,2014,0.005277862361251168,454.0,0.00788676077310852,49.0,7.0,111.2,2,酒泉市,11111.0,111111.0,15.107851531676294,15.530859433229974
298,,6.44,,2010,0.003428503046927157,429.0,0.008379842526791078,38.0,,97.95,2,酒泉市,1111.0,101111.0,12.17062786070672,7.907528214569279
307,,7.86,,2011,0.0041170000821686295,431.0,0.008720814927677097,40.0,2.0,99.1,2,酒泉市,11111.0,111111.0,13.643697041764385,9.90984735820718
314,,16.44,,2016,0.004984366327309404,589.0,0.008845631932483826,55.0,21.0,112.0,2,酒泉市,11111.0,111111.0,15.278947790397662,23.297387174726417
324,,3.9942,,2004,0.0021394817478878935,254.0,0.01395694286401533,28.0,,270.88,2,呼伦贝尔市,1111.0,101111.0,13.91038936805052,6.514094152262377
340,,7.5025,,2005,0.0027000456297223475,265.0,0.015403073409502031,28.0,,270.0,2,呼伦贝尔市,1111.0,101111.0,15.95530806427696,6.8890360190371345
349,,9.4,,2012,0.004954076813113761,434.0,0.01066366620657833,41.0,0.0,98.8,2,酒泉市,11111.0,111111.0,16.540572983455192,12.2391715956765
350,,1.1757,,2002,0.0004645687984759108,,0.0024264716852806546,20.0,,126.95,2,张掖市,1101.0,101101.0,2.583334687137098,1.3680539474736848
362,,1.1536,,2004,0.00035409215980095467,38.0,0.0018395042545131534,6.0,,270.93,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.961811961033527,0.6484457876643124
363,,18.11,,2017,0.004748946882364193,603.0,0.01130521833332545,53.0,58.0,99.0,2,酒泉市,11111.0,111111.0,16.639444459581348,21.855723196600504
369,,10.6344,,2013,0.005560317930259292,453.0,0.01183214259851537,48.0,1.0,110.8,2,酒泉市,11111.0,111111.0,18.465933127479587,14.777488122233521
377,,1.3825,,2005,0.0004512831660461881,38.0,0.001956315503909538,6.0,,272.49,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,2.2194536348913068,1.0390216483831942
382,,9.1392,,2006,0.0033387431401539266,267.0,0.018216004742318388,28.0,,269.96,2,呼伦贝尔市,1111.0,101111.0,19.128448320432152,8.963166976826562
385,,9.2307,,2002,0.0007975482850131055,,0.0016066095516667801,14.0,,508.14,2,昭通市,1101.0,101101.0,2.583155801985251,2.583155801985251
389,,5.56,,2002,0.0006442955813707082,,0.0008817247890574424,15.0,,353.52,2,巴中市,1101.0,101101.0,1.7856409652716874,1.238091765157786
391,,1.9546,,2006,0.0006250150367730898,39.0,0.002077129631011094,6.0,,274.12,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,2.6163244707248325,1.2913725843060748
