Unnamed: 0,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
193,,2.5895,,2003,0.0007437569513805173,0.002943247154535143,12764.0,22.0,,91.84,2,酒泉市,1111.0,101111.0,3.962085896162869,1.8395510164392923
201,,2.38,,2004,0.0008838203083335047,0.002953025384284429,13608.0,22.0,,92.53,2,酒泉市,1111.0,101111.0,4.1958485039792786,1.2783494913121352
217,,2.7139,,2005,0.0010977906198438984,0.0037157273047287525,15012.0,29.0,,90.26,2,酒泉市,1111.0,101111.0,5.256615673444141,2.2472988894005104
236,,3.0567,,2006,0.0013427064483974875,0.003256150506512301,16442.0,29.0,,91.16,2,酒泉市,1111.0,101111.0,5.216817364899923,1.849200269428948
240,,3.5683,,2007,0.0016127087617028926,0.0033148198850080184,16684.0,29.0,,93.57,2,酒泉市,1111.0,101111.0,5.7049160599316275,2.7443948276864973
243,,5.0003,,2009,0.0026727319748090874,0.004106856494700199,17084.0,37.0,,96.42,2,酒泉市,1111.0,101111.0,8.149749597112548,5.2773205542663515
251,,4.1552,,2008,0.0020155548011712783,0.003774396683224469,17924.0,36.0,,95.8,2,酒泉市,1111.0,101111.0,6.783259818695963,3.45880203827643
281,,14.21,,2015,0.004686170289426944,0.0054758086596002654,21757.0,52.0,15.0,111.54,2,酒泉市,11111.0,111111.0,12.666062060557904,18.844553791848178
284,,12.19,,2014,0.005277862361251168,0.004429538076426644,21809.0,49.0,7.0,111.2,2,酒泉市,11111.0,111111.0,12.630157783774102,14.442235549893182
298,,6.44,,2010,0.003428503046927157,0.004185082332694489,23164.0,38.0,,97.95,2,酒泉市,1111.0,101111.0,9.43507585775325,6.960277020756101
307,,7.86,,2011,0.0041170000821686295,0.004204638792193061,24101.0,40.0,2.0,99.1,2,酒泉市,11111.0,111111.0,10.557334178505377,8.567195907548232
314,,16.44,,2016,0.004984366327309404,0.00574959909258028,24444.0,55.0,21.0,112.0,2,酒泉市,11111.0,111111.0,13.401794929893365,21.452633559206202
324,,3.9942,,2004,0.0021394817478878935,0.0024738921265694057,38490.0,28.0,,270.88,2,呼伦贝尔市,1111.0,101111.0,5.758158352851483,3.5838528680310984
