Unnamed: 0,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
152,,1.8003,,2002,0.0006392374304707171,,10574.0,22.0,,96.2,2,酒泉市,1101.0,101101.0,1.5800551318387357,1.9572789106011736
193,,2.5895,,2003,0.0007437569513805173,302.0,12764.0,22.0,,91.84,2,酒泉市,1111.0,101111.0,1.838404529916452,2.102686928944987
201,,2.38,,2004,0.0008838203083335047,303.0,13608.0,22.0,,92.53,2,酒泉市,1111.0,101111.0,2.18461051753073,1.422427240531172
217,,2.7139,,2005,0.0010977906198438984,381.0,15012.0,29.0,,90.26,2,酒泉市,1111.0,101111.0,2.7134983339312404,2.0058020355839536
236,,3.0567,,2006,0.0013427064483974875,334.0,16442.0,29.0,,91.16,2,酒泉市,1111.0,101111.0,3.3188767009171545,2.7419227915588893
240,,3.5683,,2007,0.0016127087617028926,340.0,16684.0,29.0,,93.57,2,酒泉市,1111.0,101111.0,3.986263371989256,3.121760550218486
243,,5.0003,,2009,0.0026727319748090874,421.0,17084.0,37.0,,96.42,2,酒泉市,1111.0,101111.0,6.606408935904812,5.988707275241095
251,,4.1552,,2008,0.0020155548011712783,387.0,17924.0,36.0,,95.8,2,酒泉市,1111.0,101111.0,4.982010682240183,3.9485948622259417
281,,14.21,,2015,0.004686170289426944,561.0,21757.0,52.0,15.0,111.54,2,酒泉市,11111.0,111111.0,11.583188126244186,18.90023940455503
284,,12.19,,2014,0.005277862361251168,454.0,21809.0,49.0,7.0,111.2,2,酒泉市,11111.0,111111.0,13.045721529311216,16.444129137469467
298,,6.44,,2010,0.003428503046927157,429.0,23164.0,38.0,,97.95,2,酒泉市,1111.0,101111.0,8.474509744889156,8.326286785898352
307,,7.86,,2011,0.0041170000821686295,431.0,24101.0,40.0,2.0,99.1,2,酒泉市,11111.0,111111.0,10.176323847026405,10.110616607700454
314,,16.44,,2016,0.004984366327309404,589.0,24444.0,55.0,21.0,112.0,2,酒泉市,11111.0,111111.0,12.320263518721134,22.22649397937014
324,,3.9942,,2004,0.0021394817478878935,254.0,38490.0,28.0,,270.88,2,呼伦贝尔市,1111.0,101111.0,5.28833099265834,4.759878477076542
340,,7.5025,,2005,0.0027000456297223475,265.0,42464.0,28.0,,270.0,2,呼伦贝尔市,1111.0,101111.0,6.673922317565191,4.881874249862574
349,,9.4,,2012,0.004954076813113761,434.0,29440.0,41.0,0.0,98.8,2,酒泉市,11111.0,111111.0,12.245394463712133,12.753217944579902
350,,1.1757,,2002,0.0004645687984759108,,6804.0,20.0,,126.95,2,张掖市,1101.0,101101.0,1.1483124722272409,1.4224616213582013
362,,1.1536,,2004,0.00035409215980095467,38.0,5191.0,6.0,,270.93,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,0.8752383818096672,0.569878660866138
363,,18.11,,2017,0.004748946882364193,603.0,31203.0,53.0,58.0,99.0,2,酒泉市,11111.0,111111.0,11.738358135229445,21.173881864931943
369,,10.6344,,2013,0.005560317930259292,453.0,32651.0,48.0,1.0,110.8,2,酒泉市,11111.0,111111.0,13.743889925049677,15.745993162770944
377,,1.3825,,2005,0.0004512831660461881,38.0,5512.0,6.0,,272.49,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.115473294326084,0.8245513094372492
382,,9.1392,,2006,0.0033387431401539266,267.0,50194.0,28.0,,269.96,2,呼伦贝尔市,1111.0,101111.0,8.252642885143516,6.108663647903727
385,,9.2307,,2002,0.0007975482850131055,,4551.0,14.0,,508.14,2,昭通市,1101.0,101101.0,1.97136494290734,1.97136494290734
389,,5.56,,2002,0.0006442955813707082,,2559.0,15.0,,353.52,2,巴中市,1101.0,101101.0,1.59255777468501,1.520993105484571
391,,1.9546,,2006,0.0006250150367730898,39.0,5844.0,6.0,,274.12,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.5449004849457668,1.276334806048258
393,,1.4277,,2002,0.0004898604528425991,,6831.0,16.0,,187.76,2,武威市,1101.0,101101.0,1.2108279107323834,1.499902051699836
395,,3.2323,,2003,0.00047658201934673165,83.0,9453.0,13.0,,253.03,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.178006527021365,1.178006527021365
396,,1.3096,,2003,0.0005374939984288181,170.0,8221.0,22.0,,126.81,2,张掖市,1111.0,101111.0,1.3285676183332944,1.5195577033396162
399,,19.4,,2018,0.0051549180690057825,611.0,36149.0,54.0,60.0,99.0,2,酒泉市,11111.0,111111.0,12.741830125847006,22.328407483492903
400,,2.7396,,2007,0.0011032681086409538,226.0,8349.0,27.0,,128.72,2,张掖市,1111.0,101111.0,2.7270374883531012,2.135623579196503
402,,2.2415,,2005,0.0009446072059398576,248.0,2680.0,16.0,,362.96,2,巴中市,1111.0,101111.0,2.334862434788998,2.031977823434161
403,,1.5415,,2004,0.0006777076331260324,177.0,8429.0,22.0,,126.46,2,张掖市,1111.0,101111.0,1.6751450596667208,1.0907079067825836
404,,2.1792,,2005,0.0007806748839233107,196.0,8431.0,23.0,,127.08,2,张掖市,1111.0,101111.0,1.9296575854957576,1.4263915568210133
406,,8.605,,2007,0.004328409372960047,269.0,55474.0,28.0,,270.56,2,呼伦贝尔市,1111.0,101111.0,10.698881380285037,7.161299781870275
409,,2.438,,2006,0.0009238985728387193,206.0,8582.0,26.0,,127.15,2,张掖市,1111.0,101111.0,2.2836752225809693,1.886680857888665
410,,6.5245,,2003,0.0007576742902560313,232.0,2759.0,15.0,,356.06,2,巴中市,1111.0,101111.0,1.8728051480022885,1.7971834675851373
411,,1.8062,,2002,0.0005968492080647238,,5289.0,27.0,,293.24,2,安康市,1101.0,101101.0,1.4752807160277084,1.7798045212618325
412,,4.681,,2004,0.0005800100019107407,83.0,9957.0,15.0,,254.9,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.433657881019285,1.433657881019285
413,,7.5154,,2004,0.0009054765011033303,245.0,2766.0,16.0,,361.09,2,巴中市,1111.0,101111.0,2.2381398900157783,1.9649468046046235
418,,4.0255,,2009,0.0019282569297765168,269.0,2791.0,17.0,,401.18,2,巴中市,1111.0,101111.0,4.766229435522014,4.343203804494291
419,,2.2662,,2003,0.0007160005620351638,312.0,5393.0,27.0,,294.06,2,安康市,1111.0,101111.0,1.7697968055625368,2.017887781774275
423,,3.5876,,2003,0.0011458875967970445,235.0,15116.0,19.0,,176.13,2,巴彦淖尔市,1111.0,101111.0,2.8323835425223374,2.8323835425223374
424,,2.9535,,2003,0.0008748720335515237,59.0,5264.0,17.0,,507.27,2,昭通市,1111.0,101111.0,2.1624923391882,2.1624923391882
426,,3.2407,,2007,0.0014723502484618432,253.0,7684.0,25.0,,188.6,2,武威市,1111.0,101111.0,3.639327822579286,2.8500650774038165
427,,91.29,,2016,0.004890871973598803,216.0,10516.0,27.0,0.0,251.0,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,12.089165922840994,12.089165922840994
429,,20.48,,2019,0.005344906032244399,612.0,40473.0,54.0,38.0,99.0,2,酒泉市,11111.0,111111.0,13.211438822073868,23.700582737577847
431,,0.8886,,2003,0.0005937059735702086,209.0,7868.0,22.0,,187.1,2,武威市,1111.0,101111.0,1.4675113277583545,1.6784754588786983
