,stock,register,city,year,PGDP,wage_average,P_baidu_index,DMSP_mean,P_road_area,Built_area,scale,stock_model_chose,pr_stock
0,0.32568484,,东莞市,2020,92176.0,79601.0,1843.52,59.11767085,,,2,1111.0,0.1634856764250408
1,0.383940819,,东莞市,2019,112507.0,74017.0,2314.226266,58.47714286,,,2,1111.0,0.17652889468270314
2,0.352130712,,东莞市,2018,98939.0,69937.0,2939.492029,57.68326531,,,2,1111.0,0.17950802800654847
3,0.316593304,,东莞市,2017,91329.0,61619.0,2614.56372,57.0722449,,,2,1111.0,0.16687013276491058
4,0.203169183,,深圳市,2020,159309.0,139436.0,1656.353502,56.27579737,,,2,1111.0,0.1817252792023447
5,0.222145841,,东莞市,2015,75616.0,53221.0,1962.644586,56.16326531,73.04,11185.87006,2,111111.0,0.15506365620182536
6,0.25948455800000003,,深圳市,2019,203489.0,127757.0,2632.4971,56.13757604,,7019.992268000001,2,101111.0,0.24408902235494995
7,0.128685878,,东莞市,2011,57470.0,49898.54,642.5970464,55.94285714,,1224.57173,2,101111.0,0.13839457468267607
8,0.187269916,,东莞市,2014,70605.0,47599.51,1392.887755,55.79346939,72.87,11071.05612,2,111111.0,0.15404041065614457
9,0.27192144100000004,,东莞市,2016,82682.17,57649.0,2094.292154,55.60040816,,11585.18839,2,101111.0,0.13465220676119774
10,0.259548202,,深圳市,2018,189568.0,111709.0,4582.532231,55.28591483,,7269.3844629999985,2,101111.0,0.24408902235494995
11,0.262217811,,深圳市,2017,183544.0,100173.0,3850.345244,54.68788021,,7545.697778,2,101111.0,0.23902487661167288
12,0.28410605,,深圳市,2015,157985.0,81034.0,2229.845429,54.01684605,33.35,8124.942856999999,2,111111.0,0.2066257954505073
13,0.290719937,,深圳市,2014,149495.0,73492.38,1635.1015630000004,53.72812354,35.02,8315.659375,2,111111.0,0.19838466525158796
14,0.272908677,,深圳市,2016,167411.15,89757.0,2438.193159,53.66167525,,7924.127767,2,101111.0,0.22991550121484391
15,0.167271785,,东莞市,2013,66109.0,42870.25,782.7112933,53.63632653,54.37,1348.671767,2,111111.0,0.14350072927604277
16,0.101039881,,东莞市,2008,53285.0,39506.98,,52.65265306,,1195.312162,2,101011.0,0.07241365573740713
17,0.198441731,,东莞市,2004,71997.0,25330.19,,52.58857143,,40343.14655,2,101011.0,0.12406340165285984
18,0.08897574300000001,,东莞市,2007,46027.0,35279.79,,52.09632653,43.55,1095.880952,2,111011.0,0.08406886887636111
19,0.114387302,,东莞市,2010,52798.0,46579.51,,52.02122449,,1142.921412,2,101011.0,0.09946413421542577
20,0.162205976,,东莞市,2003,60158.0,22598.69,,51.88244898,,15611.190030000002,2,101011.0,0.12118795931809818
21,0.073429389,,东莞市,2006,39468.0,31134.02,,51.86040816,44.32,1785.8144489999993,2,111011.0,0.052373735614378226
22,0.090102838,,东莞市,2009,42585.0,42591.02,,51.62857143,,985.3444149,2,101011.0,0.09126335129506366
23,0.186242108,,深圳市,2011,110421.0,55142.21,710.5351304,51.13196069,33.89,8075.135739,2,111111.0,0.14972814233553475
24,0.145898131,,东莞市,2012,60557.0,59408.99,483.489022,50.80938776,,1293.333134,2,101111.0,0.1365636237136673
25,0.292710352,,中山市,2020,71478.0,95309.0,2382.6,50.76965366,,,2,1111.0,0.19233116738659187
26,0.3615803520000001,,中山市,2019,92709.0,85691.0,3259.768065,50.35781336,,,2,1111.0,0.1850713110322682
27,0.244038408,,深圳市,2013,136948.0,77749.14,953.9136552,50.13336453,37.03,8226.324690000001,2,111111.0,0.20304806699834757
28,0.335462187,,中山市,2018,110585.0,74484.0,4447.77135,50.07178355,,,2,1111.0,0.17652889468270314
29,0.062737527,,东莞市,2005,33263.0,28777.78,,49.98571429,13.66,640.846789,2,111011.0,0.04736038766338799
30,0.298745373,,中山市,2017,105711.3,68039.0,4191.468454999998,48.69022639,,,2,1111.0,0.17671365974624537
31,0.144064301,,深圳市,2008,89814.0,43731.49,,48.33504913,37.84,9061.899104,2,111011.0,0.11467644320966125
32,0.209896751,,深圳市,2012,123247.0,59009.58,654.1571538,48.23865232,36.96,8181.704692,2,111111.0,0.1487808013730713
33,0.141984894,,东莞市,2002,43401.0,17802.2,,48.14734694,,22252.25928,2,101011.0,0.11545218397485427
34,0.104912096,,深圳市,2004,59271.0,31928.11,,47.64529715,,9549.216667,2,101011.0,0.12118795931809818
35,0.221892994,,中山市,2015,94030.0,58776.0,3342.594684,47.5759249,4.86,4342.249169,2,111111.0,0.12862991617405317
36,0.20119147,,中山市,2014,88682.0,53125.99,2075.53617,47.49088901,5.37,3364.884397,2,111111.0,0.12467471356181556
37,0.110171966,,深圳市,2006,69450.0,35107.89,,47.45390735,64.0,8606.540448,2,111011.0,0.12353062374215029
38,0.129614859,,深圳市,2007,79645.0,38797.36,,47.33926065,39.18,8948.35,2,111011.0,0.11301007452445026
39,0.164346116,,深圳市,2010,94296.0,50455.03,,47.32615817,34.41,8169.695198,2,111011.0,0.13287874188304338
40,0.093296965,,深圳市,2003,54545.0,31052.58,,46.82358446,,9705.248276,2,101011.0,0.12023738898102253
41,0.258512309,,中山市,2016,99471.33,64790.0,3326.072597,46.62672557,,4631.633803,2,101111.0,0.1638560729101428
42,0.13632301300000002,,中山市,2011,70014.0,48420.3,991.0657534,46.55935947,11.92,1342.734247,2,111111.0,0.1043870791579941
43,0.16054138,,深圳市,2009,92772.0,46715.25,,46.44688816,36.04,9198.00439,2,111011.0,0.13287874188304338
44,,,厦门市,2019,142739.0,97779.0,3330.5766670000007,46.12024957,,9468.353667,2,101111.0,0.23560241704800006
45,,,苏州市,2019,179174.0,105572.0,2239.675,45.95026087,,4460.686042,2,101111.0,0.22320630690485455
46,,,厦门市,2020,123962.0,108554.0,2720.169279,45.41944601,,7810.7717870000015,2,101111.0,0.24408902235494995
47,,,苏州市,2018,173765.0,94421.0,3568.722043,45.144,,4446.889247,2,101111.0,0.21315008914604652
48,,,厦门市,2018,118015.0,85166.0,5124.659708,45.08791832,,9584.099165,2,101111.0,0.22911425818304465
49,0.09575703,,深圳市,2005,60801.0,32476.0,,45.03182031,40.0,8757.800606,2,111011.0,0.11501717670423184
50,,,苏州市,2020,158466.0,113744.0,1749.4018809999998,44.91816182,,3773.373564,2,101111.0,0.22196640138820542
51,,,苏州市,2017,162388.0,87350.0,2825.363468,44.82794203,,4439.856879,2,101111.0,0.20666193028109112
52,0.339060021,,佛山市,2019,133850.0,86401.0,2057.324074,44.57850369,,1995.356481,2,101111.0,0.2103445488832147
53,0.307577539,,佛山市,2020,114157.0,94536.0,1701.784907,44.4847127,,,2,1111.0,0.17610228754668827
54,0.175241229,,中山市,2013,83393.0,48449.69,821.2946969999998,44.29872998,6.79,3348.3553030000007,2,111111.0,0.11713388289781095
55,,,厦门市,2017,109740.0,75452.0,,44.13953488,,,2,1011.0,0.11248852997677235
56,0.084239171,,深圳市,2002,46388.0,28217.94,,43.92653252,,3448.311504,2,101011.0,0.060014585989368534
57,0.325408695,,佛山市,2018,127691.0,80288.0,3185.851911,43.71417281,,2068.234507,2,101111.0,0.20611007898230582
58,0.301737258,,佛山市,2017,124324.0,72712.0,2645.1914890000007,42.86670179,,2102.927234,2,101111.0,0.1919011766599063
59,,,无锡市,2019,180044.0,105759.0,2284.591933,42.77471706,,5250.022521,2,101111.0,0.23357350584990577
60,,,苏州市,2016,145556.1199,79870.0,1793.627026,42.59257971,,4329.120727,2,101111.0,0.19783606953950958
61,,,苏州市,2015,136702.0,72291.0,1951.538897,42.51605797,25.01,4317.897655,2,111111.0,0.19364496729909964
62,0.158345281,,汕头市,2020,49661.0,84400.0,1946.420147,42.27493606,,,2,1111.0,0.1789908072295976
63,0.140314676,,汕头市,2019,47669.0,76697.0,1878.406691,42.25552721,,5245.362082,2,101111.0,0.19750606764645015
64,,,苏州市,2014,129925.0,66956.28,1515.791667,42.05333333,24.47,4208.440217,2,111111.0,0.15857230097703892
65,0.295597602,,嘉兴市,2020,102541.0,107614.0,2158.757895,41.96020009,,2549.567514,2,101111.0,0.2256505370797919
66,,,无锡市,2018,174270.0,90284.0,3149.089474,41.75720692,,5243.386842,2,101111.0,0.22351728809109775
67,0.239950378,,佛山市,2015,108299.0,61810.0,2003.5315,41.71522655,,,2,1111.0,0.1657575648118284
68,0.210125927,,佛山市,2014,101617.0,55678.43,1543.376478,41.70890411,,2157.99543,2,101111.0,0.14467542337579536
69,,,无锡市,2020,165851.0,115748.0,1979.511935,41.40217623,,4681.2782259999985,2,101111.0,0.23415326593146663
70,0.110611984,,中山市,2008,56106.0,31700.04,,41.16399779,8.52,1512.076596,2,111011.0,0.06129895648948494
71,0.136508377,,佛山市,2011,86073.0,40664.89,719.4551672,41.04214963,8.52,2001.393465,2,111111.0,0.09662430633201229
72,,,无锡市,2017,160706.0,89551.0,3137.593333,40.91885543,,5173.202667000001,2,101111.0,0.21606463419095212
73,0.31684400100000004,,珠海市,2020,145645.0,107284.0,3892.237069,40.8852459,,6403.357759,2,101111.0,0.24408902235494995
74,0.310356681,,嘉兴市,2019,112751.0,97767.0,2393.596648,40.87336815,,2834.522346,2,101111.0,0.21862508383196025
75,0.122035353,,中山市,2010,60797.0,40573.48,,40.56709001,12.15,1347.392973,2,111011.0,0.07693633072432425
76,0.271270038,,佛山市,2016,115891.04,67187.0,1906.897761,40.44072708,,2135.188338,2,101111.0,0.16058313090898993
77,0.128503012,,汕头市,2018,44672.0,38899.0,2367.082072,40.42729592,,5018.925896,2,101111.0,0.10454271827399024
78,0.186624187,,佛山市,2013,96310.0,50355.33,700.6861626,40.164647,,2157.014265,2,101111.0,0.13300269137396015
79,0.352692742,,珠海市,2019,175533.0,100878.0,4541.406105,40.02814739,,7807.136337000001,2,101111.0,0.23902487661167288
80,,,厦门市,2015,90379.0,66930.0,3490.140058,39.87918321,19.57,8256.52536,2,111111.0,0.16327280569907152
81,,,厦门市,2016,97282.0,69218.0,3525.829101,39.79126489,,8621.552909999999,2,101111.0,0.19897225100203478
82,0.089834224,,中山市,2006,42047.0,24953.25,,39.39977913,7.32,1455.473077,2,111011.0,0.047623236965130336
83,0.098720179,,中山市,2007,49488.0,27502.5,,39.3683048,7.76,3432.232258,2,111011.0,0.05996799278878843
84,0.15335317199999998,,中山市,2012,77527.0,55869.54,984.9741803,39.29486472,4.97,1525.121311,2,111111.0,0.11713116360252487
85,,,厦门市,2014,86832.0,63062.49,3213.049541,39.0907544,17.71,7992.792660999998,2,111111.0,0.15937393615296797
86,0.283873557,,嘉兴市,2018,103858.0,90342.0,3156.259548,38.97019147,,2751.064066,2,101111.0,0.21758355250500092
87,0.34195826799999995,,珠海市,2018,159428.0,87032.0,6738.709278,38.79273286,,7724.861856,2,101111.0,0.22911425818304465
88,0.115128698,,汕头市,2017,42029.0,61819.0,2020.968936,38.61777211,,4954.056596,2,101111.0,0.15801853575196237
