,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,6.164
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,6.164
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,6.164
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,6.164
4,0.27699999999999997,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,6.164
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,6.164
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,6.164
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,6.164
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,6.164
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,6.164
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,6.164
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,6.164
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,6.164
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,6.164
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,6.164
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,6.164
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,6.164
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,6.164
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,6.164
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,6.164
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,6.164
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,6.164
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,6.164
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,6.164
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,6.164
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,6.164
