Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,0.8550000000000001,0.10285714285714284
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,0.8550000000000001,0.20571428571428568
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,0.8550000000000001,0.18285714285714286
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,0.8550000000000001,0.04999999999999999
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,0.8550000000000001,0.1414285714285714
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,0.8550000000000001,0.08839419709854927
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,0.8550000000000001,0.18131678448134145
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,0.8550000000000001,0.21188046647230319
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,0.8550000000000001,0.31221543162719634
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,0.8550000000000001,0.20172329437347106
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,0.8550000000000001,0.18499068634474852
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,0.8550000000000001,0.10611963454576798
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,0.8550000000000001,0.1869194560669456
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,0.8550000000000001,0.11411364013955809
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,0.8550000000000001,0.15320809248554912
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,0.8550000000000001,0.13983933999131565
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,0.8550000000000001,0.09086475469500653
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,0.8550000000000001,0.215172114550188
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,0.8550000000000001,0.029706253948199618
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,0.8550000000000001,0.613969144460028
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,0.8550000000000001,0.20126943568554964
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,0.8550000000000001,0.025442443226311666
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,0.8550000000000001,0.16851851851851854
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,0.8550000000000001,0.18499068634474852
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,0.8550000000000001,0.13983933999131565
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,0.8550000000000001,0.15320809248554912
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,0.8550000000000001,0.23903323907592172
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,0.8550000000000001,0.8315284866878191
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,0.8550000000000001,0.09086475469500653
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,0.8550000000000001,0.215172114550188
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,0.8550000000000001,0.39857847165160226
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,0.8550000000000001,0.2762385866335296
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,0.8550000000000001,0.025442443226311666
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,0.8550000000000001,0.4305821586140105
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,0.8550000000000001,0.026795266655859944
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,0.8550000000000001,0.029706253948199618
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,0.8550000000000001,0.5010421386497509
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,0.8550000000000001,0.613969144460028
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,0.8550000000000001,0.4644150417827298
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,0.8550000000000001,0.5184792373727292
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,0.8550000000000001,0.8315284866878191
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,0.8550000000000001,0.3992556290165981
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,0.8550000000000001,0.019050440883663602
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,0.8550000000000001,0.39857847165160226
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,0.8550000000000001,0.5184792373727292
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,0.8550000000000001,0.4849383246155048
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,0.8550000000000001,0.4305821586140105
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,0.8550000000000001,0.4963633797515996
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,0.8550000000000001,0.4370784431971053
49,3.88,,和田地区,2002,,,4849.0,,,,2,100.0,100.0,0.8550000000000001,0.20839863627111743
50,,,果洛藏族自治州,2015,,,1492.0,,,,2,100.0,100.0,0.8550000000000001,0.4644150417827298
51,1.2121,,甘孜藏族自治州,2003,,,3043.0,,,,2,100.0,100.0,0.8550000000000001,0.6028461875547765
52,0.5464,,克孜勒苏柯尔克孜自治州,2002,,,1468.0,,,,2,100.0,100.0,0.8550000000000001,0.20839863627111743
53,,,果洛藏族自治州,2014,,,1567.0,,,,2,100.0,100.0,0.8550000000000001,0.5010421386497509
54,,,果洛藏族自治州,2013,,,1603.0,,,,2,100.0,100.0,0.8550000000000001,0.3992556290165981
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,0.8550000000000001,0.537874578289343
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,0.8550000000000001,0.4963633797515996
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,0.8550000000000001,0.18499068634474852
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,0.8550000000000001,0.2733228275551553
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,0.8550000000000001,0.44527058823529425
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,0.8550000000000001,0.6692560175054704
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,0.8550000000000001,0.4370784431971053
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,0.8550000000000001,0.18499068634474852
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,0.8550000000000001,0.7628957395219954
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,0.8550000000000001,0.22434299814929054
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,0.8550000000000001,0.15709603461637822
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,0.8550000000000001,0.18499068634474852
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,0.8550000000000001,0.15320809248554912
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,0.8550000000000001,0.15320809248554912
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,0.8550000000000001,0.045395066889632095
