Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,-1.9816681146621704,-0.0439133514676775
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,-1.978636145591736,-0.0065398808888028626
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,-1.977074146270752,-0.05073923315320705
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,-1.976247310638428,-0.14214577334267786
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,-1.9759715795516968,-0.03801153523581369
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,-1.9694482088088991,-0.14085447856358146
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,-1.9670593738555908,-0.04827456269945429
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,-1.9668755531311035,-0.030876955986023136
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,-1.960995316505432,0.5051953813007903
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,-1.9598008394241333,-3.7944746916634697
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,-1.9711939096450808,-0.1005388188362124
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,-1.9515317678451536,-4.03463531766619
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,-1.9493266344070437,-3.911478358677455
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,-1.9450082778930664,-4.02795247895377
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,-1.9620978832244875,-0.22260597467422505
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,-1.9581470489501955,-0.24770335793495213
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,-1.9552987813949585,-0.34193392708897585
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,-1.9548393487930296,-0.2701773506402967
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,-1.952542424201965,-0.5411241351068017
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,-1.9524505138397217,0.05163212060928357
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,-1.924335479736328,-3.8575289140428812
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,-1.946753978729248,-0.48808183863759047
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,-1.9085322618484497,-3.8551158033098494
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,-1.97385835647583,-0.1032032656669617
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,-1.9726639986038208,-0.2622203075885774
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,-1.9697238206863403,-0.23023191213607785
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,-1.8415522575378416,-4.134055207116263
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,-1.899160623550415,0.18198995888233194
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,-1.959525227546692,-0.34616037324070925
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,-1.9561257362365725,-0.2714637380838396
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,-1.8866649866104128,-1.2382631438970568
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,-1.79349946975708,-4.152762909616743
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,-1.947397232055664,-0.4887250919640065
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,-1.8552422523498533,-1.0998830217123032
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,-1.7598717212677002,-4.644440571921212
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,-1.9401386976242063,-0.5287204085290429
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,-1.8319050073623655,-1.3174093943834302
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,-1.9238760471343996,0.08020658731460562
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,-1.7990121841430664,-1.6054133868217468
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,-1.7981853485107422,-1.5114459365606308
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,-1.9122074842453003,0.16894309818744668
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,-1.7596879005432131,-1.15214738547802
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,-1.59338641166687,-6.178600621904645
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,-1.901181936264038,-1.252780093550682
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,-1.9001712799072263,-1.613431867957115
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,-1.7589528560638428,-0.4685308011372884
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,-1.874445080757141,-1.1190858501195908
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,-1.6561399698257446,-2.1254669618606568
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,-1.6324350833892822,-2.7710072374343877
49,3.88,,和田地区,2002,,,4849.0,,,,2,100.0,100.0,-1.5487332344055176,-0.1525714763641357
50,,,果洛藏族自治州,2015,,,1492.0,,,,2,100.0,100.0,-1.8571717739105225,-1.663572976589203
51,1.2121,,甘孜藏族自治州,2003,,,3043.0,,,,2,100.0,100.0,-1.7146670818328855,-0.8256842850503465
52,0.5464,,克孜勒苏柯尔克孜自治州,2002,,,1468.0,,,,2,100.0,100.0,-1.8593769073486328,-0.46321514930725094
53,,,果洛藏族自治州,2014,,,1567.0,,,,2,100.0,100.0,-1.85028076171875,-1.3357851487398147
54,,,果洛藏族自治州,2013,,,1603.0,,,,2,100.0,100.0,-1.846973180770874,-1.239432665705681
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,-1.6801204681396484,-0.9234360751651582
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,-1.8320887088775637,-2.301415700912476
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,-1.329049825668335,0.5416052651405334
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,-1.464479923248291,-0.2817663748065631
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,-1.5249364376068115,-2.465021913051605
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,-1.647227764129639,-0.7494849385534016
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,-1.8203282356262207,-2.958900389671326
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,-1.910186052322388,-0.039530961513519536
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,-1.593478441238403,-0.6004583774294168
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,-1.8013092279434204,-0.5078771696567534
