省,省类型,register,stock,person_density,PGDP,autobus,taxi,passenger_volume,POP,Built_area,Construction_land_area,wage_average,P_road_area,P_baidu_index,baidu_index,province,year,scale,all_area,downtown_area,Construction_land_area_all,Construction_land_area_downtown,road_area_all,road_area_downtown,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
安徽省,省,0.014640164,0.083060863,495.36,39692,22201.75065,62481.35587,13.00326389,1.157407408,2883.063043,3197.851556,56974,13.75,374.7482292,225,安徽省,2015,1,140282,27068,0.022795879,0.118141405,0.197680387,1.024493867,5.154746192,722515,0.874956621,673047.2567,20091.1,3537.94
北京市,直辖市,0.024936984,0.244923853,819.57,113692,106845.9147,313302.1186,22.9094489,0.61720756,6428.098357,6675.862319,113073,7.46,4138.575816,902,北京市,2015,1,16411,16411,0.406791927,0.406791927,0.611114496,0.611114496,19.13341456,314075,4.119195409,411820.6802,19960.9,4464.11
福建省,省,0.015240227,0.109816906,299.69,67649,32649.701,47120.60139,10.18890623,0.938472069,2807.410168,3397.647346,58719,12.18,582.6700349,231,福建省,2015,1,124160,20659,0.027365072,0.164463302,0.105202964,0.632266809,6.290842814,785223,1.052918533,683181.9785,20201.7,2901.36
甘肃省,省,0.013217161,0.094720351,59.1,25946,20712.1624,71590.31907,14.73673916,0.971279325,2781.935454,3051.027362,54454,8.14,609.4140256,154,甘肃省,2015,1,415225,40890,0.007347889,0.074615489,0.015940755,0.161873319,0.627419325,266987,0.232365367,583823.329,18599,4248.99
广东省,省,0.018031613,0.127025015,500.36,64516,61583.04644,43001.51575,8.464593403,0.776421197,4370.855318,4281.072788,66296,13.24,544.7382394,631,广东省,2015,1,179749,49140,0.023816949,0.087119918,0.325604037,1.191025641,9.477327403,1721566,1.724127049,1592670.982,19745.6,2581.02
广西壮族自治区,自治区,0.010773445,0.075946423,231.29,30890,16689.34233,35029.87539,8.667603157,1.151917404,2358.843882,2567.591128,54983,9.73,367.3951533,176,广西壮族自治区,2015,1,238576,44426,0.010762152,0.057794785,0.062399403,0.335096565,1.85732873,441097,0.409771575,496813.6133,19273.9,2637.13
贵州省,省,0.013505729,0.079244262,306.89,28547,14659.41666,39745.35357,21.83367505,0.854720091,1481.378332,1901.147329,62591,7.28,408.9362489,151,贵州省,2015,1,102838,12284,0.018486817,0.154766145,0.050603862,0.423640508,1.779575725,313321,0.390216762,359317.0573,19088.5,2973.54
海南省,省,0.013333195,0.088558357,417.98,39704,26060.33528,54332.23716,11.01849264,0.338933214,2254.096728,4242.380162,58406,9.49,1169.578491,110,海南省,2015,1,7632,4238,0.555867422,1.001033545,0.27672956,0.498348277,5.085349841,189770,0.786273186,168538.4438,19430.7,1970.72
河北省,省,0.022312179,0.146579451,410.16,35994,31397.12399,75176.11636,5.939779009,1.043184341,2028.875689,2476.100976,52409,13.45,509.9459058,374,河北省,2015,1,186535,15675,0.01327419,0.157964975,0.128206503,1.525677831,6.086076661,1147335,0.831418855,946365.0061,19940.2,4388.98
河南省,省,0.015841106,0.098419968,674.15,38338,23702.2154,40413.79179,11.63400711,1.14786768,1977.682996,2442.898547,45920,10.96,364.9357541,353,河南省,2015,1,164696,15914,0.014832774,0.153506255,0.137787196,1.425977127,5.857592912,970568,0.873265656,812075.0584,19742.2,3753.04
黑龙江省,省,0.011836956,0.098571243,93.27,32759,36937.24371,140157.518,9.144496903,1.020413426,4139.011377,5013.331993,51241,10.57,476.3926433,170,黑龙江省,2015,1,390382,72970,0.012842119,0.068704015,0.037517099,0.200712622,1.310781508,593611,0.293408075,920828.676,20769.7,5432.64
