省,stock,GDP,DMSP_sum,baidu_index,scale,province,year,location_x,location_y
安徽省,498.7,23831.2,722515.0,225.0,1.0,安徽省,2015.0,20091.1,3537.94
北京市,533.81,24779.1,314075.0,902.0,1.0,北京市,2015.0,19960.9,4464.11
福建省,435.37,26819.5,785223.0,231.0,1.0,福建省,2015.0,20201.7,2901.36
甘肃省,239.36,6556.6,266987.0,154.0,1.0,甘肃省,2015.0,18599.0,4248.99
广东省,1471.4,74732.4,1721566.0,631.0,1.0,广东省,2015.0,19745.6,2581.02
广西壮族自治区,363.82,14797.8,441097.0,176.0,1.0,广西壮族自治区,2015.0,19273.9,2637.13
贵州省,292.61,10541.0,313321.0,151.0,1.0,贵州省,2015.0,19088.5,2973.54
海南省,83.29,3734.2,189770.0,110.0,1.0,海南省,2015.0,19430.7,1970.72
河北省,1075.03,26398.4,1147335.0,374.0,1.0,河北省,2015.0,19940.2,4388.98
河南省,952.01,37084.1,970568.0,353.0,1.0,河南省,2015.0,19742.2,3753.04
黑龙江省,351.75,11690.0,593611.0,170.0,1.0,黑龙江省,2015.0,20769.7,5432.64
湖北省,498.63,30344.0,501616.0,266.0,1.0,湖北省,2015.0,19622.4,3429.53
湖南省,507.88,28538.6,413736.0,243.0,1.0,湖南省,2015.0,19570.6,3054.39
吉林省,313.74,10018.0,394367.0,167.0,1.0,吉林省,2015.0,20731.6,4950.15
江苏省,1240.91,71255.9,1794442.0,434.0,1.0,江苏省,2015.0,20296.7,3679.89
江西省,338.94,16780.9,299109.0,205.0,1.0,江西省,2015.0,19965.6,3063.54
辽宁省,582.5,20210.3,790633.0,223.0,1.0,辽宁省,2015.0,20472.6,4636.75
内蒙古自治区,373.61,12949.0,510342.0,157.0,1.0,内蒙古自治区,2015.0,19676.7,4888.48
宁夏回族自治区,100.94,2579.4,157519.0,83.0,1.0,宁夏回族自治区,2015.0,19070.6,4136.41
青海省,78.18,2011.0,89070.0,70.0,1.0,青海省,2015.0,18133.0,4055.85
山东省,1510.81,55288.8,1632094.0,410.0,1.0,山东省,2015.0,20144.1,4050.12
山西省,468.97,11836.4,653208.0,232.0,1.0,山西省,2015.0,19612.4,4158.05
陕西省,438.12,17898.8,616168.0,228.0,1.0,陕西省,2015.0,19303.5,3893.36
上海市,282.23,26887.0,352564.0,439.0,1.0,上海市,2015.0,20501.7,3502.23
四川省,767.13,30342.0,625588.0,336.0,1.0,四川省,2015.0,18700.2,3418.75
天津市,273.62,10879.5,341041.0,270.0,1.0,天津市,2015.0,20047.4,4369.01
西藏自治区,33.18,1043.0,35391.0,32.0,1.0,西藏自治区,2015.0,17316.6,3734.61
新疆维吾尔自治区,294.47,9306.9,694213.0,139.0,1.0,新疆维吾尔自治区,2015.0,17276.2,4880.8
云南省,484.23,14960.0,405870.0,159.0,1.0,云南省,2015.0,18535.2,2796.42
浙江省,1120.58,43507.7,1358825.0,424.0,1.0,浙江省,2015.0,20391.0,3264.14
重庆市,278.61,16040.5,237680.0,199.0,1.0,重庆市,2015.0,19197.3,3330.13
