省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,GDP,passenger_volume,POP,Built_area,Construction_land_area,wage_average,road_area,P_road_area,city,year,baidu_index,scale,all_area,downtown_area,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
安徽省,省,安庆市,地级市,,36.2055,403.84,31101.0,465.0,1782.0,1420.0,5854.0,622.1,85.0,94.0,49802.0,1168.0,15.86,安庆市,2015,52.0,2,15402.0,810.0,2.217185185,29932.0,0.402239606,29388.83235,20026.6,3396.7
安徽省,省,蚌埠市,地级市,,22.4366,631.83,38267.0,1187.0,2600.0,1250.0,3337.0,376.35,138.0,138.0,51146.0,1896.0,16.69,蚌埠市,2015,48.0,2,5951.0,611.0,6.745344741,40209.0,1.249272115,41495.82258,20090.8,3682.74
安徽省,省,亳州市,地级市,,35.3242,745.22,18771.0,306.0,1151.0,942.609,5643.0,634.95,56.0,63.0,47338.0,1477.0,9.06,亳州市,2015,30.0,2,8521.0,2263.0,4.120746304,35117.0,0.734145945,34943.878710000005,19982.1,3713.01
安徽省,省,池州市,地级市,,10.5624,192.88,38014.0,557.0,1055.0,544.7404,4024.0,161.61,37.0,37.0,49733.0,769.0,11.52,池州市,2015,19.0,2,8399.0,2357.0,1.728474455,14514.0,0.321007458,14558.65125,20112.8,3368.71
安徽省,省,滁州市,地级市,,24.1417,332.2,32634.0,513.0,1357.0,1310.0,8707.0,449.06,84.0,116.0,56336.0,1910.0,35.56,滁州市,2015,42.0,2,13516.0,1406.0,5.067066400000002,68451.0,0.80884275,60447.24522,20167.9,3624.56
安徽省,省,阜阳市,地级市,,54.9953,1030.84,16121.0,746.0,1788.0,1270.0,13221.0,1042.65,122.0,117.0,48583.0,1842.0,8.28,阜阳市,2015,67.0,2,10118.0,1957.0,5.7800850389999985,58454.0,0.931854202,52369.2743,19940.3,3653.34
安徽省,省,合肥市,地级市,,116.8809,627.35,73102.0,4684.0,9402.0,5660.0,11211.0,717.72,416.0,420.0,65806.0,6348.0,25.29,合肥市,2015,163.0,2,11445.0,1127.0,10.07991982,115657.0,2.246751773,141390.3358,20102.6,3533.06
安徽省,省,淮北市,地级市,,17.8975,791.68,35057.0,442.0,1634.0,760.3904,3603.0,216.5,85.0,90.0,51096.0,1203.0,11.48,淮北市,2015,33.0,2,2741.0,760.0,12.11576265,33282.0,1.676677673,25795.686,20032.6,3748.35
安徽省,省,淮南市,地级市,,17.8035,952.01,26398.0,723.0,3105.0,901.0822,4424.0,246.2,108.0,107.0,59424.0,1616.0,8.77,淮南市,2015,41.0,2,2584.0,1736.0,8.65565186,47935.0,1.056829728,32281.92087,20042.6,3608.87
安徽省,省,黄山市,地级市,,14.6978,152.92,38794.0,189.0,575.0,530.9,3962.0,147.69,65.0,49.0,55137.0,781.0,17.33,黄山市,2015,22.0,2,9678.0,2358.0,0.881313914,8532.0,0.202713023,10550.80742,20183.8,3330.86
