register,stock,PGDP,GDP,passenger_volume,POP,Built_area,wage_average,road_area,P_road_area,baidu_index,province,year,scale,DMSP_mean,DMSP_sum,real_GDP,image_POP
40.07,470.53,86246,17188.8,129918.0,1277.9,1231.0,75834.61,9164.0,7.59,163.0,北京市,2011,1,16.5317088,271368,251398.4047,14591034
58.85,493.56,92758,19024.7,132333.0,1297.5,1261.0,85306.0,9236.0,7.53,141.0,北京市,2012,1,17.62808407,289365,258104.3602,19764166
58.93,517.11,100569,21134.6,52481.0,1316.3,1306.0,93997.0,9611.0,7.72,201.0,北京市,2013,1,17.86969235,293331,271950.881,19858971
50.33,530.83,106732,22926.0,52354.0,1333.4,1386.0,103400.0,10002.0,7.93,520.0,北京市,2014,1,18.80572647,308696,284602.7621,19948818
54.35,533.81,113692,24779.1,49931.0,1345.2,1401.0,113073.0,10029.0,7.46,902.0,北京市,2015,1,19.13341456,314075,292382.1,20122534
57.35,547.44,123391,27041.2,48040.0,1363.0,1420.0,122749.0,14316.0,7.62,846.0,北京市,2016,1,19.80097472,325033,300749.9247,20211646
62.6,563.1,136172,29883.0,44940.0,1359.0,1446.0,134994.0,13960.0,7.44,1070.0,北京市,2017,1,21.94846177,360284,306845.6201,20296055
54.77,574.04,150962,33106.0,44577.0,1376.0,1469.0,149843.0,14098.0,7.57,1129.0,北京市,2018,1,21.82272312,358220,308566.577,20375283
58.27,590.32,161776,35445.1,48151.0,1397.0,1469.0,173205.0,14318.0,7.68,644.0,北京市,2019,1,24.20085288,397257,317079.2594,20447772
32.68,190.78,61458,8112.5,22053.0,996.4,711.0,55636.33,10492.0,12.85,69.0,天津市,2011,1,20.86626416,252294,205055.9828,10518163
34.25,221.12,66517,9043.0,24483.0,993.2,722.0,65398.0,11611.0,14.29,66.0,天津市,2012,1,21.776528,263300,210803.9069,12944860
42.17,261.58,71345,9945.4,24980.0,1004.0,736.0,68864.0,12440.0,15.14,106.0,天津市,2013,1,23.32735092,282051,223500.1604,13008762
