,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,0.0007681777101826918
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,0.02611804214621152
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,0.039177063219317285
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,0.04609066261096151
4,0.27699999999999997,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,0.04839519574150958
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,0.1029358131644807
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,0.12290843362923068
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,0.12444478904959606
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,0.17360816250128833
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,0.18359447273366333
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,0.08834043667100955
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,0.25273046665010557
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,0.27116673169449024
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,0.30727108407307674
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,0.16439002997909602
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,0.19742167151695178
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,0.22123518053261523
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,0.22507606908352867
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,0.244280511838096
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,0.24504868954827866
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,0.48011106886418237
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,0.29267570757960554
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,0.6122376350156054
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,0.06606328307571149
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,0.07604959330808647
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,0.10063128003393262
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,1.1722391857387875
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,0.6905917614542398
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,0.1858990058642114
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,0.214321581140971
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,0.7950639300390859
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,1.5739961281643353
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,0.28729846360832667
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,1.0577807069215666
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,1.8551491700912006
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,0.3479845027127594
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,1.2528978453079702
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,0.4839519574150958
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,1.527905465553374
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,1.5348190649450182
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,0.5815105266082977
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,1.8566855255115662
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,3.247087180942238
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,0.6736918518302206
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,0.6821418066422303
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,1.8628309471930276
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,0.8972315654933839
