,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,8.9872013367658e-05
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,0.0030556484545003716
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,0.004583472681750558
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,0.0053923208020594795
4,0.27699999999999997,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,0.005661936842162453
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,0.01204284979126617
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,0.014379522138825278
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,0.014559266165560594
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,0.020311075021090707
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,0.02147941119487026
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,0.01033528153728067
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,0.02956789239795948
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,0.03172482071878328
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,0.0359488053470632
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,0.01923261086067881
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,0.023097107435488103
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,0.0258831398498855
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,0.026332499916723793
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,0.028579300250915242
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,0.028669172264282897
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,0.05617000835478625
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,0.03424123709307769
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,0.07162799465402342
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,0.0077289931496185875
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,0.00889732932339814
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,0.011773233751163197
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,0.1371446923990461
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,0.08079494001752453
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,0.021749027234973236
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,0.025074291729576578
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,0.09301753383552602
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,0.18414775539033124
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,0.03361213299950409
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,0.12375376240726506
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,0.21704091228289404
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,0.040712022055549066
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,0.1465812538026502
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,0.05661936842162454
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,0.17875543458827176
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,0.17956428270858066
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,0.0680331141193171
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,0.2172206563096294
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,0.37988900050509034
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,0.07881775572343605
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,0.0798063478704803
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,0.21793963241657063
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,0.10497051161342454
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,0.3185064153749799
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,0.3416933948238357
49,3.88,,和田地区,2002,,,4849.0,,,,2,100.0,100.0,0.42356679900177213
50,,,果洛藏族自治州,2015,,,1492.0,,,,2,100.0,100.0,0.12186645012654425
51,1.2121,,甘孜藏族自治州,2003,,,3043.0,,,,2,100.0,100.0,0.2612579428597818
52,0.5464,,克孜勒苏柯尔克孜自治州,2002,,,1468.0,,,,2,100.0,100.0,0.11970952180572045
53,,,果洛藏族自治州,2014,,,1567.0,,,,2,100.0,100.0,0.12860685112911857
54,,,果洛藏族自治州,2013,,,1603.0,,,,2,100.0,100.0,0.13184224361035426
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,0.2950498198860212
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,0.14640150977591487
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,0.6384507829638424
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,0.5059794352599145
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,0.44684365046399555
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,0.32722400067164276
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,0.1579051274869751
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,0.07001029841340559
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,0.3797991284917227
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,0.1765086342540803
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,0.40298610794057843
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,0.11054257644221933
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,0.8350008761989105
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,0.08735559699336357
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,0.19043879632606728
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,0.8646586406102376
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,0.6929132230646431
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,0.19412354887414127
73,1.2589,,和田地区,2003,,,8339.0,,,,2,100.0,100.0,0.7372201256548986
