,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,0.0006994821996240314
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,0.023782394787217064
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,0.0356735921808256
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,0.04196893197744188
4,0.27699999999999997,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,0.04406737857631397
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,0.09373061474962019
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,0.11191715193984501
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,0.11331611633909307
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,0.15808297711503108
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,0.16717624571014347
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,0.0804404529567636
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,0.2301296436763063
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,0.24691721646728307
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,0.27979287984961254
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,0.1496891907195427
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,0.17976692530337604
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,0.201450873491721
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,0.20494828448984118
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,0.22243533948044197
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,0.223134821680066
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,0.4371763747650196
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,0.2665027180567559
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,0.5574873131003529
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,0.06015546916766669
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,0.0692487377627791
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,0.09163216815074811
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,1.0674098366262716
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,0.6288344974620041
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,0.1692746923090156
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,0.19515553369510472
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,0.7239640766108724
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,1.4332390270296402
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,0.2616063426593877
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,0.9631869888822912
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,1.6892495120920354
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,0.3168654364296862
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,1.140855467586795
