Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,-1.99550968707369,-0.043940633542433716
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,-1.9924771091494995,-0.0065792970220373
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,-1.990914872037037,-0.05078263773517255
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,-1.99008780533044,-0.14218142091874508
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,-1.9898121164282403,-0.03804490390308746
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,-1.9832874790761936,-0.06373752795156418
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,-1.9808981752571344,-0.2074477650530373
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,-1.9807143826556683,0.038537208386761
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,-1.9748330194087524,0.47134545922850735
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,-1.9736383674992224,-3.62677843108282
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,-1.9850335087901216,-0.35137016520320574
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,-1.9653677004332477,-3.8660545990681237
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,-1.9631621892156543,-3.8491693085202208
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,-1.9588430630812008,-3.982123776768023
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,-1.975935775017549,-0.3597146165087346
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,-1.971984234086028,-0.3845271410115434
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,-1.9691354487633028,-0.48037213061771555
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,-1.9686759672596377,-0.4099192793165849
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,-1.9663785597413117,-0.676867236279403
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,-1.9662866634405785,-0.10547263341157742
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,-1.9381663954162631,-3.6681873977660593
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,-1.9605890927951288,-0.6301931083101904
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,-1.922360231690177,-3.883413985035075
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,-1.9876985015113804,-0.3540351579244645
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,-1.9865038496018503,-0.39904675652736565
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,-1.9835631679783927,-0.3673420094695783
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,-1.8553678284557789,-4.072438671343382
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,-1.9129868090154052,0.030904972636840666
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,-1.9733626785970235,-0.48459936045143626
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,-1.9699625154699003,-0.41120582752684753
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,-1.9004889121157096,-1.2250199796850616
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,-1.8073060631723905,-4.094162905622501
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,-1.9612323669002603,-0.6308363824153218
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,-1.8690603772650043,-1.0926040310077259
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,-1.7736720171040916,-4.6878930107332515
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,-1.9539725591423485,-0.6644612356804398
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,-1.845718716878808,-1.308837129029484
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,-1.9377069139125973,-0.07689288388359627
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,-1.8128198412163736,-1.5955425779182222
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,-1.8119927745097764,-1.5027047149712252
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,-1.9260360837194996,0.017855697932746217
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,-1.7734882245026256,-1.142926150383512
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,-1.6071559201757932,-6.253471871024864
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,-1.9150085276315325,-1.2395395952008843
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,-1.913997668323469,-1.6047096087849178
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,-1.772753054096761,-2.2595058623276993
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,-1.888266704118213,-1.1118103578609344
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,-1.669921093576471,-2.107906976894066
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,-1.6462118479873422,-2.749508913385242
