Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,0.0006994821996240314,0.0005246223969970508
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,0.023782394787217064,0.01464927783533427
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,0.0356735921808256,0.027587308582130664
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,0.04196893197744188,0.0328308652632977
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,0.044067378576313966,0.027053571428571427
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,0.0937306147496202,0.09455098940964606
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,0.111917151939845,0.1357794700239471
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,0.11331611633909308,0.13667105844609395
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,0.15808297711503108,0.14101137515485976
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,0.16717624571014347,0.1969037435222886
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,0.0804404529567636,0.04301688630849914
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,0.2301296436763063,0.2207510743936601
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,0.2469172164672831,0.24470686783762657
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,0.2797928798496125,0.2853098714831115
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,0.1496891907195427,0.08101277911579984
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,0.17976692530337604,0.09214432490431773
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,0.201450873491721,0.10510377022856278
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,0.2049482844898412,0.10189188739998101
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,0.222435339480442,0.13695544211156055
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,0.22313482168006601,0.15847787123343826
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,0.4371763747650196,0.3998143312094352
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,0.2665027180567559,0.14424679329505435
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,0.5574873131003529,0.582889988967181
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,0.06015546916766669,0.03216914976113849
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,0.0692487377627791,0.035495284690768306
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,0.09163216815074812,0.04959193487929804
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,1.0674098366262716,0.6092076960061313
