Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,0.0007681777101826918,0.0005246223969970508
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,0.02611804214621152,0.014649277835334264
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,0.039177063219317285,0.027587308582130664
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,0.046090662610961515,0.032830865263297704
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,0.04839519574150958,0.027053571428571427
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,0.1029358131644807,0.09491548952553501
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,0.12290843362923068,0.12826372521844862
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,0.12444478904959605,0.13691955729179942
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,0.17360816250128833,0.14101137515485976
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,0.18359447273366333,0.20438703649664428
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,0.08834043667100955,0.04033291210609104
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,0.2527304666501056,0.23022978582498
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,0.27116673169449024,0.2544747619359871
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,0.30727108407307674,0.287815157561251
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,0.16439002997909602,0.07816298407165352
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,0.19742167151695175,0.08938954933730253
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,0.22123518053261526,0.10278683561642607
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,0.22507606908352867,0.1003156728782892
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,0.24428051183809601,0.13734042770582533
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,0.24504868954827866,0.16066750952020722
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,0.4801110688641824,0.4180496755275016
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,0.29267570757960554,0.14270422233924734
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,0.6122376350156054,0.5925844229949885
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,0.06606328307571149,0.03016200383585939
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,0.07604959330808647,0.03443410655405817
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,0.10063128003393262,0.0478474341747038
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,1.1722391857387875,0.6266506526702509
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,0.6905917614542398,0.4461777020162769
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,0.1858990058642114,0.08636949381658023
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,0.214321581140971,0.09552243253598187
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,0.7950639300390859,0.3820261941752533
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,1.573996128164335,0.8868093736997629
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,0.2872984636083267,0.14008235998655777
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,1.0577807069215666,0.6392925571685779
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,1.8551491700912008,1.5530900610098894
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,0.3479845027127594,0.1956453262601851
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,1.2528978453079702,0.6515977372627679
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,0.4839519574150958,0.317305739804798
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,1.527905465553374,0.7700323086639853
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,1.5348190649450182,0.8395766073997903
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,0.5815105266082977,0.3757024698846737
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,1.8566855255115664,1.1073908095064535
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,3.2470871809422386,2.604166087702297
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,0.6736918518302206,0.32370721960550447
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,0.6821418066422303,0.3731451588443513
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,1.862830947193028,1.2151514974136615
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,0.8972315654933839,0.5422612249621633
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,2.72242180488746,1.1767675693520787
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,2.9206116541145937,1.1578625915900604
49,3.88,,和田地区,2002,,,4849.0,,,,2,100.0,100.0,3.620421548091026,0.9874939346451718
50,,,果洛藏族自治州,2015,,,1492.0,,,,2,100.0,100.0,1.04164897500773,0.5249692360725812
51,1.2121,,甘孜藏族自治州,2003,,,3043.0,,,,2,100.0,100.0,2.233092603501085,1.4477275412868187
52,0.5464,,克孜勒苏柯尔克孜自治州,2002,,,1468.0,,,,2,100.0,100.0,1.0232127099633457,0.2790880375445299
53,,,果洛藏族自治州,2014,,,1567.0,,,,2,100.0,100.0,1.0992623032714317,0.5716961140545804
54,,,果洛藏族自治州,2013,,,1603.0,,,,2,100.0,100.0,1.1269167008380088,0.6721316994397877
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,2.521927422529777,1.6338743248355416
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,1.2513614898876049,0.540901346070693
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,5.457134453137843,2.49152180523192
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,4.324840508328555,1.6093761005271505
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,3.819379575028344,1.8866943575703456
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,2.7969350427751807,1.8243495148029036
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,1.3496882367909897,0.535077478543855
