Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,-67.72127167930786,-0.388537593608973
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,-67.69592181487185,-0.764600250194917
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,-67.68286279379872,-0.550179815445901
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,-67.67594919440708,-0.42933621419491885
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,-67.67364466127654,-0.6345367822725194
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,-67.61910404385357,-3.724233085529775
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,-67.59913142338881,-5.3154534674752725
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,-67.59759506796847,-3.3692916581487253
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,-67.54843169451675,-0.3752417898038942
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,-67.53844538428439,-11.923419199030114
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,-67.63369942034704,-4.890699656887762
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,-67.46930939036794,-12.560687737860526
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,-67.45087312532354,-12.565338041042317
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,-67.41476877294497,-12.397914545917764
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,-67.55764982703894,-6.105066796929037
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,-67.5246181855011,-6.206935663889276
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,-67.50080467648543,-6.3589296654582625
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,-67.49696378793452,-6.6744403200143125
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,-67.47775934517995,-6.552359876213899
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,-67.47699116746976,-6.179185675541298
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,-67.24192878815387,-12.758866233909323
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,-67.42936414943844,-6.582312041767793
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,-67.10980222200244,-10.001180018837452
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,-67.65597657394234,-4.912976810483059
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,-67.64599026370996,-6.32830774209814
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,-67.62140857698411,-6.168825546874203
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,-66.54980067127926,-16.397608304497098
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,-67.03144809556379,-6.257113691047486
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,-67.53614085115383,-6.394265840126664
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,-67.50771827587708,-6.685194807956876
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,-66.92697592697895,-11.157859371230202
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,-66.14804372885371,-16.606800471868176
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,-67.43474139340972,-6.587689285739074
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,-66.66425915009647,-9.529664070992617
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,-65.86689068692685,-10.184250785598458
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,-67.37405535430527,-6.448655885339221
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,-66.46914201171008,-13.255184602060382
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,-67.23808789960296,-5.940282407674495
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,-66.19413439146467,-14.657595384489191
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,-66.18722079207303,-14.208732745973094
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,-67.14052933040975,-6.366194925893446
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,-65.86535433150648,-9.687246880422748
42,,,阿里地区,2020,,,4363.0,,,,2,100.0,100.0,-64.47495267607579,-9.410177278155537
43,,,果洛藏族自治州,2011,,,1013.0,,,,2,100.0,100.0,-67.04834800518782,-11.279231449439067
44,,,果洛藏族自治州,2016,,,1024.0,,,,2,100.0,100.0,-67.03989805037581,-15.06141000427587
45,1.0305,,甘孜藏族自治州,2002,,,2561.0,,,,2,100.0,100.0,-65.85920890982501,-25.986442185336053
46,,,果洛藏族自治州,2012,,,1304.0,,,,2,100.0,100.0,-66.82480829152466,-9.690213212420808
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,-64.9996180521306,-20.19272358244941
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,-64.80142820290345,-24.55518830074547
49,3.88,,和田地区,2002,,,4849.0,,,,2,100.0,100.0,-64.10161830892702,-3.55968124194802
50,,,果洛藏族自治州,2015,,,1492.0,,,,2,100.0,100.0,-66.68039088201031,-15.143851875034834
51,1.2121,,甘孜藏族自治州,2003,,,3043.0,,,,2,100.0,100.0,-65.48894725351695,-33.79884729976534
52,0.5464,,克孜勒苏柯尔克孜自治州,2002,,,1468.0,,,,2,100.0,100.0,-66.6988271470547,-6.156890080075705
53,,,果洛藏族自治州,2014,,,1567.0,,,,2,100.0,100.0,-66.62277755374662,-13.408820144096921
54,,,果洛藏族自治州,2013,,,1603.0,,,,2,100.0,100.0,-66.59512315618004,-10.417015705096304
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,-65.20011243448828,-33.84981624214073
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,-66.47067836713045,-21.663783897449257
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,-62.26490540388021,0.47809435957906743
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,-63.39719934868949,-16.463369293204593
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,-63.9026602819897,-18.06364138114599
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,-64.92510481424287,-33.79678271225556
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,-66.37235162022705,-26.12611171806907
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,-67.12362942078572,-4.380629657326438
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,-64.47572085378599,-33.621165872278
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,-66.21333883421924,-7.428520353234433
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,-64.27753100455885,-33.52176626037159
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,-66.77718127349334,-4.03418151003406
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,-60.584900751710656,0.8676822783992506
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,-66.97537112272047,-5.522788092610568
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,-66.09427128914092,-7.339197559908513
