Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
0,,,阿里地区,2002,,,137.0,,,,2,100.0,100.0,-67.60048675537111,-0.3882967921665852
1,0.6114,,阿里地区,2005,,,170.0,,,,2,100.0,100.0,-67.57514190673828,-0.7642538452148386
2,,,阿里地区,2006,,,187.0,,,,2,100.0,100.0,-67.56208801269531,-0.5498013741629535
3,,,阿里地区,2004,,,196.0,,,,2,100.0,100.0,-67.55517578125,-0.4290256173270137
4,0.277,,阿里地区,2003,,,199.0,,,,2,100.0,100.0,-67.55287170410156,-0.6342470223563055
5,0.5945,,阿里地区,2007,,,270.0,,,,2,100.0,100.0,-67.49834442138672,-6.116870149884903
6,0.6707,,阿里地区,2008,,,296.0,,,,2,100.0,100.0,-67.47837066650389,-6.851407002040304
7,0.9303,,阿里地区,2009,,,298.0,,,,2,100.0,100.0,-67.47683715820311,-5.78807618277412
8,0.8471,,阿里地区,2010,,,362.0,,,,2,100.0,100.0,-67.42768096923828,-2.2168032618931335
9,,,阿里地区,2014,,,375.0,,,,2,100.0,100.0,-67.41770172119139,-8.716226479666553
10,0.2178,,玉树藏族自治州,2002,,,251.0,,,,2,100.0,100.0,-67.51293182373047,-6.686220779418946
11,0.9697,,阿里地区,2011,,,465.0,,,,2,100.0,100.0,-67.34857940673828,-9.320826677594866
12,,,阿里地区,2016,,,489.0,,,,2,100.0,100.0,-67.33014678955078,7572.670244009836
13,0.9835,,阿里地区,2012,,,536.0,,,,2,100.0,100.0,-67.29404449462889,7342.397922450474
14,,,玉树藏族自治州,2003,,,350.0,,,,2,100.0,100.0,-67.43689727783203,-7.172322068214413
15,,,玉树藏族自治州,2004,,,393.0,,,,2,100.0,100.0,-67.40387725830078,-7.2672224998474135
16,0.7866,,玉树藏族自治州,2005,,,424.0,,,,2,100.0,100.0,-67.38006591796875,-7.409658589363097
17,0.7963,,玉树藏族自治州,2006,,,429.0,,,,2,100.0,100.0,-67.37622833251953,-7.701868791580203
18,,,玉树藏族自治州,2008,,,454.0,,,,2,100.0,100.0,-67.35702514648439,-7.520956516265883
19,0.9067,,玉树藏族自治州,2009,,,455.0,,,,2,100.0,100.0,-67.35625457763672,-6.916659879684445
20,,,阿里地区,2015,,,761.0,,,,2,100.0,100.0,-67.12123870849611,-9.511145499093203
21,0.8829,,玉树藏族自治州,2007,,,517.0,,,,2,100.0,100.0,-67.30863952636719,-7.589611935615537
22,1.1702,,阿里地区,2013,,,933.0,,,,2,100.0,100.0,-66.9891357421875,-6.922956368582582
23,0.187,,果洛藏族自治州,2002,,,222.0,,,,2,100.0,100.0,-67.53520965576172,-6.708498611450196
24,,,果洛藏族自治州,2004,,,235.0,,,,2,100.0,100.0,-67.52522277832031,-7.388568019866945
25,,,果洛藏族自治州,2003,,,267.0,,,,2,100.0,100.0,-67.50064849853516,-7.236073288917538
