省,省代码,市,市代码,市类型,省类型,数量,2002y1_pr,2002stock,2003y1_pr,2003stock,2004y1_pr,2004stock,2005y1_pr,2005stock,2006y1_pr,2006stock,2007y1_pr,2007stock,2008y1_pr,2008stock,2009y1_pr,2009stock,2010y1_pr,2010stock,2011y1_pr,2011stock,2012y1_pr,2012stock,2013y1_pr,2013stock,2014y1_pr,2014stock,2015y1_pr,2015stock,2016y1_pr,2016stock,2017y1_pr,2017stock,2018y1_pr,2018stock,2019y1_pr,2019stock,2020y1_pr,2020stock,2002y1_corrected,2003y1_corrected,2004y1_corrected,2005y1_corrected,2006y1_corrected,2007y1_corrected,2008y1_corrected,2009y1_corrected,2010y1_corrected,2011y1_corrected,2012y1_corrected,2013y1_corrected,2014y1_corrected,2015y1_corrected,2016y1_corrected,2017y1_corrected,2018y1_corrected,2019y1_corrected,2020y1_corrected
安徽省,340000,安庆市,340800,地级市,省,1,-24.323169708251953,3.3071,-20.367652893066406,3.9349,-19.17864227294922,3.5713,-17.015047073364258,5.3089,-16.301460266113278,7.4495,-13.8655366897583,6.7627,-11.702441215515135,8.2929,-10.867609024047852,12.1714,-5.416072368621826,14.6788,-54639.8046875,17.6857,-53980.89453125,21.1146,-52971.16015625,25.9399,-56176.0,30.9036,-57725.76953125,36.2055,-57837.92578125,40.0674,3.979235649108887,46.5712,-60631.890625,100.6946,-57371.85546875,57.6154,45.08205795288086,61.6378,-1.1076859736442586,-0.613312245607375,-0.3490439486503618,0.5142157673835754,1.2937139487266585,3.1989109244942675,4.515439839065076,6.404376230239869,9.833408463597298,-2161.5288769531253,-2038.9269335937497,-1574.6717675781256,-3042.2236914062523,-3109.435742187503,-2806.6969335937465,40656.757688980106,-3161.889111328128,-3929.6829882812526,57.65337211132049
安徽省,340000,蚌埠市,340300,地级市,省,1,-20.067873001098636,3.0923,-14.442872047424315,3.8883,-13.845627784729006,3.4589,-12.56184196472168,3.9402,-10.557701110839844,4.7024,-8.756357192993164,5.2391,-6.902600288391112,6.3487,-6.493481636047362,7.9701,-3.0636234283447266,9.8706,-52578.2109375,11.7533,-52198.5390625,13.6161,-51262.10546875,16.4439,-51896.01171875,18.8037,-53951.87109375,22.4366,-54495.4140625,27.8173,-53591.58984375,33.208,-56606.81640625,79.4492,-51755.390625,44.3532,38.26885986328125,49.9693,3.147610733509058,5.311468600034717,4.983970539569851,4.967420876026154,7.037473104000092,8.308090421259404,9.315280766189098,10.778503618240357,12.185857403874397,-99.93512695312529,-256.5714648437497,134.38291992187442,1237.7645898437477,664.4626953124971,535.8147851562535,-12938.811390419003,863.1851074218721,1686.7818554687474,50.840174021720884
安徽省,340000,亳州市,341600,地级市,省,1,-23.80495834350586,2.0205,-20.34678268432617,2.6669,-19.741703033447266,3.6069,-18.984180450439453,3.6069,-18.32798385620117,9.5062,-19.6889591217041,6.7047,-18.145565032958984,8.1238,-14.840475082397461,16.5988,-12.049383163452148,19.9383,-53129.0546875,23.3301,-52642.31640625,26.0552,-52317.859375,25.6057,-53823.63671875,29.8465,-54669.5546875,35.3242,-55518.9921875,42.8396,6.147693634033202,50.8451,-59501.203125,97.2493,-55177.359375,64.3974,35.894805908203125,70.6422,-0.5894746088981648,-0.592442036867137,-0.9121047091484087,-1.4549176096916199,-0.7328096413612322,-2.6245115074515333,-1.9276839783787736,2.4315101718902596,3.2000976687669755,-650.7788769531253,-700.3488085937497,-921.3709863281256,-689.8604101562523,-53.22089843750291,-487.7633398437465,40658.92614696503,-2031.201611328128,-1735.1868945312526,48.46612006664276
安徽省,340000,池州市,341700,地级市,省,1,-24.12139892578125,1.0977,-21.576757431030273,1.2513,-21.245845794677734,1.3405,-20.721454620361328,2.0118,-19.74121856689453,2.2858,-17.93154525756836,2.2395,-16.63496208190918,2.6036,-15.827563285827635,3.5441,-13.401590347290039,4.2915,-51631.5625,5.2369,-51354.4609375,6.2923,-51317.28125,7.1196,-52104.90625,8.731,-52889.62890625,10.5624,-53010.921875,12.7543,-54688.265625,14.9621,-56287.734375,33.983000000000004,-53488.078125,18.6944,-1.3946990966796875,20.333,-0.9059151911735555,-1.8224167835712421,-2.4162474703788774,-3.192191779613495,-2.146044352054595,-0.8670976433157911,-0.4170810273289689,1.4444219684600856,1.847890484929085,846.7133105468747,587.5066601562503,79.20713867187442,1028.8700585937477,1726.704882812497,2020.3069726562535,-14035.487171669003,1182.267138671872,-45.90564453125262,11.176615061759946
安徽省,340000,滁州市,341100,地级市,省,1,-20.3968563079834,4.2285,-17.71538734436035,4.6741,-16.771421432495114,5.0567,-16.030656814575195,5.3319,-14.593355178833008,8.2243,-13.044621467590332,7.7761,-11.301725387573242,8.7584,-10.018287658691406,11.5913,-4.44489860534668,13.4594,-51460.9609375,15.6942,-50692.70703125,15.961,-49095.46484375,18.4207,-50439.7109375,20.8604,-51922.49609375,24.1417,-53856.53515625,29.5161,20.234188079833984,35.7338,-54759.453125,97.8435,-50710.55859375,47.8837,66.79718780517578,53.2756,2.818627426624296,2.0389533030986797,2.0581768918037433,1.498606026172638,3.0018190360069283,4.019826146662236,4.916155667006969,7.253697595596314,10.804582226872444,1017.3148730468747,1249.2605664062503,2301.0235449218744,2694.0653710937477,2693.837695312497,1174.6936914062535,40673.01264141083,2710.548388671872,2731.6138867187474,79.36850196361542
安徽省,340000,阜阳市,341200,地级市,省,1,-26.35639190673828,4.8832,-22.763282775878906,6.0527,-21.40179443359375,7.01,-11.420536041259766,9.513,-19.341047286987305,14.2465,-17.719959259033203,12.8124,-16.13191795349121,14.8859,-15.049564361572266,23.865,-10.355137825012207,28.2858,-55489.65625,33.5188,-54725.6640625,37.6374,-53970.828125,43.084,-57773.2578125,48.4019,-59151.41015625,54.9953,-57903.23046875,62.8222,-52355.9921875,72.6618,-59591.515625,141.8995,-53425.40625,95.19,75.33788299560547,104.2034,-3.1409081721305867,-3.008942128419875,-2.572196109294893,6.108726799488068,-1.7458730721473685,-0.6555116447806348,0.08596310108899985,2.222420892715455,4.894343007206917,-3011.3804394531253,-2783.6964648437497,-2574.3397363281256,-4639.481503906252,-4535.076367187503,-2872.0016210937465,-11703.213734169003,-2121.514111328128,16.76623046874738,87.9091971540451
安徽省,340000,合肥市,340100,地级市,省,1,-4.0027122497558585,6.6613,6.168170928955077,9.0081,8.25175666809082,10.7689,18.522356033325195,12.6353,22.85059928894043,15.6147,28.73760032653809,18.279,38.68265151977539,22.513,42.20978546142578,29.6625,59.54507446289063,38.606,-51160.15625,55.04,-50842.6875,66.5553,-51184.6328125,82.0675,-55093.4921875,97.5744,-56204.6640625,116.8809,-55590.2109375,142.9899,-52629.19921875,169.7353,-61208.25390625,234.6325,-51102.203125,217.5679,203.04656982421875,234.1024,19.212771484851835,25.92251157641411,27.081354992389677,36.05161887407303,40.445773503780366,45.80204794079066,54.9005325743556,59.4817707157135,74.79455529510976,1318.1195605468747,1099.2800976562503,211.85557617187442,-1959.7158789062523,-1588.330273437503,-558.9820898437465,-11976.420765419003,-3738.252392578128,2339.9693554687474,215.61788398265838
安徽省,340000,淮北市,340600,地级市,省,1,-20.071285247802734,1.5574,-16.263973236083984,1.765,-15.370284080505373,1.7528,-14.859723091125488,2.5834,-12.353283882141113,3.7624,-11.219281196594238,3.0056,-10.095081329345703,3.5793,-10.190685272216797,6.277,-7.835668087005615,8.0759,-51424.05859375,9.9203,-51160.90234375,12.1237,-50813.953125,13.4097,-51302.15625,15.6716,-52871.6953125,17.8975,-53146.30859375,20.6599,-53296.36328125,24.2069,-55520.01171875,54.304,-52559.76953125,31.3456,21.91929817199707,34.6274,3.14419848680496,3.490367411375047,3.459314243793484,2.669539749622345,5.241890332698823,5.84516641765833,6.122799725234508,7.081299982070924,7.413812745213509,1054.2172167968747,781.0652539062503,582.5352636718744,1831.6200585937477,1744.638476562497,1884.9202539062535,-12643.584827919003,1949.989794921872,882.4029492187474,34.490612330436704
安徽省,340000,淮南市,340400,地级市,省,1,-15.823453903198242,3.0262,-10.58067226409912,3.4922,-9.751474380493164,2.8988,-8.864891052246094,3.7015,-6.999183177947997,4.4207,-5.897336483001709,4.9915,-4.4519805908203125,5.8869,-4.722825050354004,7.3733,-1.3458492755889893,8.978,-51495.61328125,10.3471,-51020.63671875,11.8885,-50162.25,14.2483,-50214.53125,15.7088,-52311.046875,17.8035,-53611.42578125,26.0907,-54511.16015625,29.6177,-55377.28515625,67.6639,-52235.88671875,37.1345,34.50863265991211,39.8891,7.392029831409452,9.173668383359912,9.078123943805693,8.66437178850174,10.595991036891938,11.16711113125086,11.765900463759898,12.549160203933717,13.903631556630135,982.6625292968747,921.3308789062503,1234.2383886718744,2919.2450585937477,2305.286914062497,1419.8030664062535,-13858.381702919003,2092.716357421872,1206.2857617187474,47.07994681835174
安徽省,340000,黄山市,341000,地级市,省,1,-22.55110168457031,1.7779,-19.521381378173828,2.1868,-17.932498931884766,2.1754,-17.044092178344727,2.3591,-16.612968444824222,5.4109,-15.41862678527832,3.2837,-14.470329284667967,3.8221,-14.751619338989258,8.617,-12.76732063293457,9.5638,-52171.125,10.7651,-51585.80859375,11.4868,-51151.9609375,11.7135,-52671.4921875,12.5581,-53519.99609375,14.6978,-53611.40234375,16.6571,-54750.80078125,18.4899,-55228.5234375,28.5397,-53983.10546875,21.4756,8.142248153686522,22.9096,0.6643820500373856,0.23295926928520316,0.8970993924140913,0.4851706624031067,0.9822057700157139,1.645820828974248,1.7475517699122438,2.5203659152984628,2.4821601992845537,307.1508105468747,356.1590039062503,244.52745117187442,462.2841210937477,1096.337695312497,1419.8265039062535,-14098.022327919003,2241.478076171872,-540.9329882812526,20.713562312126157
